feature,lang,diff,method
IOI,English,0.803492063492063,common language effect size
Onset-break interval,English,0.933333333333333,common language effect size
IOI ratio deviation,English,0.600109649122807,common language effect size
Interval deviation,English,0.899543873357779,common language effect size
IOI,Marathi,0.893241167434716,common language effect size
Onset-break interval,Marathi,0.25,common language effect size
IOI ratio deviation,Marathi,0.538011695906433,common language effect size
Interval deviation,Marathi,0.756066460665517,common language effect size
IOI,Farsi,0.915548281505728,common language effect size
Onset-break interval,Farsi,0.722222222222222,common language effect size
IOI ratio deviation,Farsi,0.680104817577101,common language effect size
Interval deviation,Farsi,0.896456896740934,common language effect size
IOI,Japanese,0.929441554886395,common language effect size
Onset-break interval,Japanese,0.729166666666667,common language effect size
IOI ratio deviation,Japanese,0.800240867121638,common language effect size
Interval deviation,Japanese,0.794997992900377,common language effect size
IOI,Yoruba,0.987179487179487,common language effect size
Onset-break interval,Yoruba,1,common language effect size
IOI ratio deviation,Yoruba,0.360537190082645,common language effect size
Interval deviation,Yoruba,0.906143878952962,common language effect size
