feature,lang,diff,method
F0,English,0.777943356247723,common language effect size
Magnitude of F0 modulatioin,English,0.629762186035936,common language effect size
Spectral centroid,English,0.547643314725156,common language effect size
F0,Marathi,0.772909392192598,common language effect size
Magnitude of F0 modulatioin,Marathi,0.673780586764239,common language effect size
Spectral centroid,Marathi,0.376876756990535,common language effect size
F0,Farsi,0.750687207150422,common language effect size
Magnitude of F0 modulatioin,Farsi,0.674627771194365,common language effect size
Spectral centroid,Farsi,0.533441345769255,common language effect size
F0,Japanese,0.79093214821384,common language effect size
Magnitude of F0 modulatioin,Japanese,0.530842918332021,common language effect size
Spectral centroid,Japanese,0.568585042699623,common language effect size
F0,Yoruba,0.85544481668415,common language effect size
Magnitude of F0 modulatioin,Yoruba,0.655847091583408,common language effect size
Spectral centroid,Yoruba,0.795636387279556,common language effect size
