feature,lang,diff,method
F0,English,0.732445634705804,common language effect size
Magnitude of F0 modulatioin,English,0.669455927999278,common language effect size
Spectral centroid,English,0.574016942772545,common language effect size
F0,Marathi,0.764658140925554,common language effect size
Magnitude of F0 modulatioin,Marathi,0.657270318021201,common language effect size
Spectral centroid,Marathi,0.469555618603032,common language effect size
F0,Farsi,0.762293308104594,common language effect size
Magnitude of F0 modulatioin,Farsi,0.705653596627837,common language effect size
Spectral centroid,Farsi,0.502369947171027,common language effect size
F0,Japanese,0.801519038080389,common language effect size
Magnitude of F0 modulatioin,Japanese,0.571119095823638,common language effect size
Spectral centroid,Japanese,0.485884914435425,common language effect size
F0,Yoruba,0.745558077889477,common language effect size
Magnitude of F0 modulatioin,Yoruba,0.618148239985757,common language effect size
Spectral centroid,Yoruba,0.744070545856977,common language effect size
