feature,mean,CI_l,CI_u
-|Δf0|,0.630791186579234,0.537385072225192,0.744212896866286
Spectral centroid,0.51591175248003,0.484722687702954,0.544923467451914
f0,0.946946535739451,0.904655033085824,0.971627490074463
