rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
0.105	0.10530045351473913	0.25530045351473923	345	353	348	348	101.36	348	348	348	348	101.34	0	0	0	0	0	0	0	31	31	0	0.1500000000000001	0	0	0	0.1053	0	69.4	0	0	1	0	0	0	0
0.415	0.41530045351473915	0.6853004535147393	385	464	421	420	104.59	422	394	394	422	104.67	-1	-1.2	3.35	0	-1.2	1.2	0	44	39	-5	0.2700000000000002	0	0	0	0.16	0	65.4	0	0	1	0	0	0	0
0.955	0.9553004535147391	1.0153004535147387	499	548	536	536	108.81	536	536	536	536	108.82	0	0	5.35	0	0	0	0	60	60	0	0.05999999999999961	0	0	0	0.27	0	66.4	0	0	1	0	0	0	0
1.070	1.070300453514739	1.2653004535147347	552	557	554	554	109.39	554	554	554	554	109.39	0	0	0.6	0	0	0	0	62	62	0	0.19499999999999584	0	0	0	0.055	0	66.8	0	0	1	0	0	0	0
1.365	1.365300453514739	1.3953004535147384	551	557	553	554	109.37	553	553	553	553	109.36	0	0	-0.01	0	0	0	0	62	62	0	0.02999999999999936	0	0	0	0.1	0	62.1	0	0	1	0	0	0	0
1.410	1.410300453514739	1.4403004535147383	543	552	552	550	109.26	552	552	552	552	109.31	0	0	-0.02	0	0	0	0	62	62	0	0.02999999999999936	0	0	0	0.015	0	65.9	0	0	1	0	0	0	0
1.495	1.495300453514739	1.635300453514736	502	553	527	530	108.6	527	527	527	527	108.53	0	0	-0.77	0	0	0	0	59	59	0	0.13999999999999702	0	0	0	0.055	0	66	0	0	1	0	0	0	0
1.675	1.675300453514739	1.7003004535147386	431	465	454	454	105.94	454	454	454	454	105.94	0	0	-2.56	0	0	0	0	49	49	0	0.024999999999999467	0	0	0	0.04	0	66.3	0	0	1	0	0	0	0
1.720	1.720300453514739	1.9303004535147346	411	463	414	415	104.39	414	414	414	414	104.35	0	0	-1.57	0	0	0	0	42	42	0	0.20999999999999552	0	0	0	0.02	0	67.2	0	0	1	0	0	0	0
2.110	2.110300453514739	2.345300453514734	345	422	347	348	101.35	416	346	346	416	104.42	-1	-3.16	0.1	0	-3.16	3.16	0	43	30	-13	0.234999999999995	0	0	0	0.18	0	69	0	0	1	0	0	0	0
2.535	2.535300453514739	2.620300453514737	286	318	315	306	99.11	315	315	315	315	99.6	0	0	-1.62	0	0	0	0	24	24	0	0.08499999999999819	0	0	0	0.19	0	68.7	0	0	1	0	0	0	0
2.765	2.765300453514739	2.800300453514738	277	318	290	291	98.24	290	290	290	290	98.17	0	0	-1.42	0	0	0	0	18	18	0	0.034999999999999254	0	0	0	0.145	0	65.8	0	0	1	0	0	0	0
2.815	2.8153004535147392	3.2153004535147307	270	316	310	310	99.33	274	310	274	310	99.34	1	2.14	-0.96	2.14	0	2.14	0	14	23	8	0.3999999999999915	0	0	0	0.015	0	67	0	0	1	0	0	0	0
3.345	3.345300453514739	3.3703004535147385	310	311	310	310	99.36	310	310	310	310	99.36	0	0	0.04	0	0	0	0	23	23	0	0.024999999999999467	0	0	0	0.13	0	58.7	0	0	1	1	0	0.575	0
3.945	3.945300453514739	4.060300453514737	277	278	277	277	97.4	277	277	277	277	97.4	0	0	-1.91	0	0	0	0	15	15	0	0.11499999999999755	0	0	0	0.575	0	61.1	0	0	1	1	1	0.37	0
4.430	4.4303004535147394	4.665300453514734	276	280	277	277	97.41	277	277	277	277	97.39	0	0	0.03	0	0	0	0	15	15	0	0.234999999999995	0	0	0	0.37	0	66.7	0	0	1	0	1	0	0
4.720	4.7203004535147395	4.800300453514738	339	351	348	347	101.31	348	348	348	348	101.34	0	0	3.98	0	0	0	0	31	31	0	0.0799999999999983	0	0	0	0.055	0	68.6	0	0	1	0	0	0	0
4.955	4.95530045351474	5.225300453514734	345	346	346	346	101.23	346	346	346	346	101.23	0	0	-0.09	0	0	0	0	30	30	0	0.26999999999999424	0	0	0	0.155	0	66.2	0	0	1	0	0	0	0
