rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
0.690	0.6899166666666664	0.9649166666666666	53	67	62	60	71.17	64	54	54	64	72.03	-1	-3.87	0	0	-3.87	3.87	0	21	2	-20	0.27500000000000024	0	0	0	0.6899	0	63.9	0	0	1	0	1	0	0
1.235	1.2349166666666662	1.2749166666666654	112	117	113	113	81.93	113	113	113	113	81.86	0	0	12.8	0	0	0	0	85	85	0	0.03999999999999915	0	0	0	0.27	0	61.1	0	0	1	0	0	0	0
1.455	1.4549166666666662	1.5349166666666645	108	112	110	110	81.49	110	110	110	110	81.5	0	0	-0.34	0	0	0	0	82	82	0	0.0799999999999983	0	0	0	0.18	0	64	0	0	1	0	0	0	0
1.610	1.6099166666666662	1.6999166666666643	109	112	112	111	81.65	112	112	112	112	81.72	0	0	0.35	0	0	0	0	84	84	0	0.08999999999999808	0	0	0	0.075	0	59.6	0	0	1	0	0	0	0
1.725	1.7249166666666662	1.829916666666664	105	110	109	108	81.14	109	109	109	109	81.27	0	0	-0.42	0	0	0	0	81	81	0	0.10499999999999776	0	0	0	0.025	0	60.5	0	0	1	0	0	0	0
1.935	1.9349166666666664	2.049916666666664	53	57	54	55	69.49	54	54	54	54	69.35	0	0	-11.87	0	0	0	0	2	2	0	0.11499999999999777	0	0	0	0.105	0	59.3	0	0	1	0	0	0	0
2.140	2.1399166666666662	2.2299166666666643	61	69	63	64	72.06	63	63	63	63	71.87	0	0	2.81	0	0	0	0	19	19	0	0.08999999999999808	0	0	0	0.09	0	60.1	0	0	1	0	0	0	0
2.290	2.289916666666666	2.3699166666666645	96	112	109	107	80.98	109	109	109	109	81.25	0	0	9.53	0	0	0	0	81	81	0	0.0799999999999983	0	0	0	0.06	0	60.5	0	0	1	0	0	0	0
2.435	2.434916666666666	2.5949166666666628	98	110	101	102	80.08	101	101	101	101	80.01	0	0	-1.21	0	0	0	0	72	72	0	0.1599999999999966	0	0	0	0.065	0	62.7	0	0	1	0	0	0	0
2.630	2.6299166666666665	2.6649166666666657	99	103	102	102	80.1	102	102	102	102	80.19	0	0	0.29	0	0	0	0	73	73	0	0.034999999999999254	0	0	0	0.035	0	61.4	0	0	1	0	0	0	0
2.675	2.6749166666666664	2.699916666666666	99	100	99	99	79.68	99	99	99	99	79.64	0	0	-0.43	0	0	0	0	70	70	0	0.024999999999999467	0	0	0	0.01	0	57.6	0	0	1	0	0	0	0
2.775	2.7749166666666665	2.8099166666666657	100	106	102	103	80.25	102	102	102	102	80.22	0	0	0.67	0	0	0	0	73	73	0	0.034999999999999254	0	0	0	0.075	0	62.9	0	0	1	0	0	0	0
