feature,pvalue,mean,CI_l,CI_u
IOI rate,1,0.901175409070146,0.842503608293082,0.944817431659537
Sign of f0 slope,0.999875,0.666310541310541,0.500050875050875,0.749949124949125
f0 ratio,0.9465,0.533187056810428,0.469217726715609,0.568027495522784
