feature,lang,diff,stderr,ci95_l,ci95_u,method
IOI rate,English,0.835305448541552,0.0360559551595314,0.763776270230679,0.906834626852425,common language effect size
f0 ratio,English,0.378876209259033,0.012302319716468,0.35474929993363,0.403003118584436,common language effect size
Sign of f0 slope,English,0.666666666666667,0.166666666666667,-0.05044212162491,1.38377545495824,common language effect size
IOI rate,Macedonian,0.975521669341894,0.0116198595729689,0.952476760482944,0.998566578200843,common language effect size
f0 ratio,Macedonian,0.405881881713867,0.0124727109490438,0.381421327349284,0.43034243607845,common language effect size
Sign of f0 slope,Macedonian,0.5,0.273861278752583,-1.26820902221726,2.26820902221726,common language effect size
IOI rate,Italian,0.799907862407862,0.0401881639227935,0.720260858361018,0.879554866454707,common language effect size
f0 ratio,Italian,0.505061626434326,0.012770161536964,0.480017703040033,0.530105549828619,common language effect size
Sign of f0 slope,Italian,0.65,0.175594229214212,0.212847749876192,1.08715225012381,common language effect size
IOI rate,Portuguese,0.932661837935717,0.0217210456778033,0.889606823019288,0.975716852852147,common language effect size
f0 ratio,Portuguese,0.397286891937256,0.0124092585089909,0.37295054598102,0.421623237893491,common language effect size
Sign of f0 slope,Portuguese,0.666666666666667,0.235702260395516,0.0122522795074812,1.32108105382585,common language effect size
IOI rate,English,0.990972222222222,0.00802248287012218,0.975012804320034,1.00693164012441,common language effect size
f0 ratio,English,0.600311279296875,0.0127966180204603,0.575214184008528,0.625408374585222,common language effect size
Sign of f0 slope,English,0.75,0.25,-2.42655118404367,3.92655118404367,common language effect size
IOI rate,Ronga,0.729622063329929,0.0418450012604936,0.646799367670973,0.812444758988884,common language effect size
f0 ratio,Ronga,0.547492980957031,0.0127924445060602,0.522404514102773,0.57258144781129,common language effect size
Sign of f0 slope,Ronga,0.702380952380952,0.130952380952381,0.413807576078048,0.990954328683857,common language effect size
IOI rate,Swedish,0.677272727272727,0.0634935667213109,0.550365235661772,0.804180218883683,common language effect size
f0 ratio,Swedish,0.533185958862305,0.0128819959514799,0.507921614834396,0.558450302890213,common language effect size
Sign of f0 slope,Swedish,0.125,0.125,-0.272805788160464,0.522805788160464,common language effect size
IOI rate,Hindi,0.923142370958593,0.0346734794791842,0.853470871382713,0.992813870534474,common language effect size
f0 ratio,Hindi,0.521326541900635,0.0128871553913713,0.496052696684132,0.546600387117137,common language effect size
