feature,name,lang,sex,type,mean,std,groupid
Spectral centroid,Timbral brightness,English,F,song,1442.78192615903,1599.96658199178,11
f0,Pitch height,English,F,desc,-606.133260757986,209.918835514982,11
-|Δf0|,Pitch stability,English,F,desc,-4230.10031642715,2456.70171848677,11
Spectral centroid,Timbral brightness,English,F,desc,2267.15320259803,1667.25654237312,11
f0,Pitch height,English,F,song,-967.829340607545,364.62198232851,12
-|Δf0|,Pitch stability,English,F,song,-3786.68652194989,2977.12591397742,12
Spectral centroid,Timbral brightness,English,F,song,1492.8071501952,1897.25822270388,12
f0,Pitch height,English,F,desc,-962.259130460706,437.186835110101,12
-|Δf0|,Pitch stability,English,F,desc,-5900.97786648636,5210.67478544951,12
Spectral centroid,Timbral brightness,English,F,desc,1541.08468808643,1907.78672548126,12
f0,Pitch height,English,F,song,-894.213530825503,190.854605828483,13
-|Δf0|,Pitch stability,English,F,song,-1907.67659578057,1770.61990956555,13
Spectral centroid,Timbral brightness,English,F,song,1317.39658386539,2240.17206569857,13
f0,Pitch height,English,F,desc,-1403.57565707135,71.425396754847,13
-|Δf0|,Pitch stability,English,F,desc,-1595.55900329429,873.212522255732,13
Spectral centroid,Timbral brightness,English,F,desc,1635.17571624307,2681.24704011107,13
f0,Pitch height,Mandarin,F,song,-1199.52637302207,296.791583382106,14
-|Δf0|,Pitch stability,Mandarin,F,song,-2271.74003127513,3187.22127757332,14
Spectral centroid,Timbral brightness,Mandarin,F,song,1000.00945285625,1459.43056855276,14
f0,Pitch height,Mandarin,F,desc,-1530.65749483158,208.07247908125,14
-|Δf0|,Pitch stability,Mandarin,F,desc,-2777.79636003916,2306.36375286241,14
Spectral centroid,Timbral brightness,Mandarin,F,desc,1145.19702896992,1420.06720029706,14
f0,Pitch height,Mandarin,F,song,-1221.99547576469,334.463042439545,15
-|Δf0|,Pitch stability,Mandarin,F,song,-1749.53845510563,2057.86549469891,15
Spectral centroid,Timbral brightness,Mandarin,F,song,863.292777401685,1562.06180620821,15
f0,Pitch height,Mandarin,F,desc,-1590.06860618233,649.577528602426,15
-|Δf0|,Pitch stability,Mandarin,F,desc,-3501.18119927371,3002.16798722195,15
Spectral centroid,Timbral brightness,Mandarin,F,desc,1087.72288729151,1942.56423290058,15
f0,Pitch height,Mandarin,F,song,-958.193082989086,284.780429385266,16
-|Δf0|,Pitch stability,Mandarin,F,song,-1722.51063302625,2000.20522434778,16
Spectral centroid,Timbral brightness,Mandarin,F,song,681.220699877429,1132.03056727605,16
f0,Pitch height,Mandarin,F,desc,-1399.70468932942,318.60264717925,16
-|Δf0|,Pitch stability,Mandarin,F,desc,-3316.41168535209,2510.11152076791,16
Spectral centroid,Timbral brightness,Mandarin,F,desc,992.631218035883,1363.56383011772,16
f0,Pitch height,Mandarin,F,song,-1135.41490611799,311.696672671236,17
-|Δf0|,Pitch stability,Mandarin,F,song,-2615.16102674563,2381.75930672006,17
Spectral centroid,Timbral brightness,Mandarin,F,song,853.78856470553,1536.63234495957,17
f0,Pitch height,Mandarin,F,desc,-1825.39132527412,421.134884820123,17
-|Δf0|,Pitch stability,Mandarin,F,desc,-2862.82259120211,2112.96437262172,17
Spectral centroid,Timbral brightness,Mandarin,F,desc,927.013557357394,1401.40007269589,17
f0,Pitch height,Mandarin,F,song,-1084.80689253545,639.515997678,18
-|Δf0|,Pitch stability,Mandarin,F,song,-2210.3979509659,2170.44042452574,18
Spectral centroid,Timbral brightness,Mandarin,F,song,746.121935970071,1185.02629858306,18
f0,Pitch height,Mandarin,F,desc,-1751.7772346349,791.70904382939,18
-|Δf0|,Pitch stability,Mandarin,F,desc,-4669.31870843548,3250.69477703933,18
Spectral centroid,Timbral brightness,Mandarin,F,desc,890.742400353587,1500.12154704764,18
f0,Pitch height,Mandarin,F,song,-1277.63730160142,896.340861415395,19
-|Δf0|,Pitch stability,Mandarin,F,song,-2505.67615041177,2680.65131166393,19
Spectral centroid,Timbral brightness,Mandarin,F,song,709.815912481291,1094.48779344807,19
f0,Pitch height,Mandarin,F,desc,-1574.32442554426,751.171491997995,19
-|Δf0|,Pitch stability,Mandarin,F,desc,-2804.55115231188,2651.69191397128,19
Spectral centroid,Timbral brightness,Mandarin,F,desc,849.885323525996,1056.36820823726,19
f0,Pitch height,Mandarin,F,song,-946.863945359646,355.041081593355,20
-|Δf0|,Pitch stability,Mandarin,F,song,-1639.82418965236,2244.27159096542,20
Spectral centroid,Timbral brightness,Mandarin,F,song,694.773820385683,1079.80583669221,20
f0,Pitch height,Mandarin,F,desc,-1335.34385114143,308.170735796526,20
-|Δf0|,Pitch stability,Mandarin,F,desc,-2437.0659448624,2186.78486189398,20
Spectral centroid,Timbral brightness,Mandarin,F,desc,703.396843069857,543.409965568252,20
f0,Pitch height,Mandarin,F,song,-853.423871357065,315.091519348833,21
-|Δf0|,Pitch stability,Mandarin,F,song,-2694.44758491915,3268.08612504068,21
Spectral centroid,Timbral brightness,Mandarin,F,song,960.428701650347,1469.2713950723,21
f0,Pitch height,Mandarin,F,desc,-1285.15399808518,473.739547248694,21
-|Δf0|,Pitch stability,Mandarin,F,desc,-3193.69954376917,2743.71985776034,21
Spectral centroid,Timbral brightness,Mandarin,F,desc,1010.6218170713,1435.49471241894,21
f0,Pitch height,Mandarin,M,song,-1496.82127110644,331.998369801859,22
-|Δf0|,Pitch stability,Mandarin,M,song,-2225.92002254388,2109.53554454535,22
Spectral centroid,Timbral brightness,Mandarin,M,song,743.904133835753,1022.68177100893,22
f0,Pitch height,Mandarin,M,desc,-2203.06517032818,307.091384603996,22
-|Δf0|,Pitch stability,Mandarin,M,desc,-2721.36788279665,3210.13103206276,22
Spectral centroid,Timbral brightness,Mandarin,M,desc,823.587000440507,737.684171719689,22
f0,Pitch height,Mandarin,F,song,-891.400332396026,383.338105271814,23
-|Δf0|,Pitch stability,Mandarin,F,song,-2672.74253871467,2818.39856606974,23
Spectral centroid,Timbral brightness,Mandarin,F,song,1247.84976660963,1908.25152307055,23
f0,Pitch height,Mandarin,F,desc,-1291.43656593402,199.458146466586,23
-|Δf0|,Pitch stability,Mandarin,F,desc,-3573.67434512344,2488.4074071038,23
Spectral centroid,Timbral brightness,Mandarin,F,desc,1471.53043337988,1985.3471917627,23
f0,Pitch height,Mandarin,F,song,-982.654759786817,238.264570145948,24
-|Δf0|,Pitch stability,Mandarin,F,song,-1702.96568436367,1662.95844896828,24
Spectral centroid,Timbral brightness,Mandarin,F,song,752.691787248065,1134.30452367279,24
f0,Pitch height,Mandarin,F,desc,-1135.79920757942,598.15386476108,24
-|Δf0|,Pitch stability,Mandarin,F,desc,-2736.44772631537,2492.23449316229,24
Spectral centroid,Timbral brightness,Mandarin,F,desc,1005.15622787091,1254.40939982458,24
f0,Pitch height,Mandarin,F,song,-1216.96075023905,278.996174181509,25
-|Δf0|,Pitch stability,Mandarin,F,song,-2097.48760230397,1830.3307482727,25
Spectral centroid,Timbral brightness,Mandarin,F,song,1027.03582818759,1439.13752115666,25
f0,Pitch height,Mandarin,F,desc,-1441.33839308845,258.004414797233,25
-|Δf0|,Pitch stability,Mandarin,F,desc,-2824.38819260668,2596.68168830747,25
Spectral centroid,Timbral brightness,Mandarin,F,desc,1376.61043026522,1472.9838952955,25
f0,Pitch height,Mandarin,M,song,-1155.42492207583,378.153474726238,26
-|Δf0|,Pitch stability,Mandarin,M,song,-1748.94022114682,2364.31191611567,26
Spectral centroid,Timbral brightness,Mandarin,M,song,749.550987312824,1220.99766966541,26
f0,Pitch height,Mandarin,M,desc,-2189.98557178352,258.028870240442,26
-|Δf0|,Pitch stability,Mandarin,M,desc,-2369.33290371709,2010.34595144139,26
Spectral centroid,Timbral brightness,Mandarin,M,desc,612.579513726058,811.484167627904,26
f0,Pitch height,Hadza,F,song,-1091.32375512714,302.144102903245,27
-|Δf0|,Pitch stability,Hadza,F,song,-2358.65639917463,2712.74884260608,27
Spectral centroid,Timbral brightness,Hadza,F,song,538.822709072566,563.993574542689,27
f0,Pitch height,Hadza,F,desc,-1360.73698712061,215.846071773227,27
-|Δf0|,Pitch stability,Hadza,F,desc,-2938.62770404504,2343.02737223901,27
Spectral centroid,Timbral brightness,Hadza,F,desc,898.056865711587,1397.0385672046,27
