feature,lang,diff,stderr,method
IOI rate,English,0.819607843137255,0.0608078920005207,common language effect size
f0 ratio,English,0.457895278930664,0.012714947148817,common language effect size
Sign of f0 slope,English,0.875,0.125,common language effect size
IOI rate,Marathi,0.947916666666667,0.0311570558425574,common language effect size
f0 ratio,Marathi,0.643214702606201,0.0124146079710143,common language effect size
Sign of f0 slope,Marathi,0,0,common language effect size
IOI rate,Farsi,0.984848484848485,0.0129349959580269,common language effect size
f0 ratio,Farsi,0.563673496246338,0.012957094538244,common language effect size
Sign of f0 slope,Farsi,1,0,common language effect size
IOI rate,Japanese,0.877232142857143,0.0510910290485927,common language effect size
f0 ratio,Japanese,0.647201538085938,0.0122666620027153,common language effect size
Sign of f0 slope,Japanese,0.75,0.25,common language effect size
IOI rate,Yoruba,0.787081339712919,0.0790370735272981,common language effect size
f0 ratio,Yoruba,0.484712600708008,0.0127725245757356,common language effect size
Sign of f0 slope,Yoruba,0.5,0,common language effect size
