feature,lang,diff,stderr,method
f0,English,1,0,common language effect size
Rate of change of f0,English,0.894189353951381,0.00263228810128949,common language effect size
Spectral centroid,English,0.77304060855462,0.00453847618289998,common language effect size
f0,Marathi,1,0,common language effect size
Rate of change of f0,Marathi,0.793294433270533,0.00631849173275041,common language effect size
Spectral centroid,Marathi,0.915476526469477,0.00489302613471095,common language effect size
f0,Farsi,1,0,common language effect size
Rate of change of f0,Farsi,0.908371904147943,0.00336552368934896,common language effect size
Spectral centroid,Farsi,0.72556828201537,0.0065169508977492,common language effect size
f0,Japanese,0.999467759345552,7.28138019373057e-05,common language effect size
Rate of change of f0,Japanese,0.933163874114249,0.00233128458186036,common language effect size
Spectral centroid,Japanese,0.450821659263727,0.0059686630470852,common language effect size
f0,Yoruba,0.99732466893491,0.00061959116782714,common language effect size
Rate of change of f0,Yoruba,0.926163991455106,0.00351235520597574,common language effect size
Spectral centroid,Yoruba,0.541203395759898,0.00973077611143863,common language effect size
Pulse clarity,English,0.598791496796738,0.036999992898132,common language effect size
Pulse clarity,Marathi,0.350230414746544,0.0743145936307868,common language effect size
Pulse clarity,Farsi,0.51679748822606,0.0583154618200183,common language effect size
Pulse clarity,Japanese,0.695238095238095,0.0452291751981662,common language effect size
Pulse clarity,Yoruba,0.538149350649351,0.0627522119414233,common language effect size
