feature,lang,diff,stderr,method
IOI rate,English,0.824563794983642,0.0317515640682623,common language effect size
f0 ratio,English,0.523612499237061,0.0129584432419186,common language effect size
Sign of f0 slope,English,0.356060606060606,0.114642014775921,common language effect size
IOI rate,Marathi,0.930619559651818,0.024988267021091,common language effect size
f0 ratio,Marathi,0.577919006347656,0.0127572331263964,common language effect size
Sign of f0 slope,Marathi,0.25,0.144337567297406,common language effect size
IOI rate,Farsi,0.928277282086479,0.0195972376627814,common language effect size
f0 ratio,Farsi,0.522662162780762,0.0128920604198813,common language effect size
Sign of f0 slope,Farsi,0.45,0.16583123951777,common language effect size
IOI rate,Japanese,0.939644520482844,0.0145436517129821,common language effect size
f0 ratio,Japanese,0.660373687744141,0.0121141126715617,common language effect size
Sign of f0 slope,Japanese,0.75,0.117851130197758,common language effect size
IOI rate,Yoruba,0.830662393162393,0.0485445316707494,common language effect size
f0 ratio,Yoruba,0.526784420013428,0.0128206854094786,common language effect size
Sign of f0 slope,Yoruba,0.5,0,common language effect size
