feature,mean,CI_diff,CI_sim_l,CI_sim_u
Pulse clarity,0.550671550671551,0.35042735042735,0.695238095238095,0.35042735042735
Rate of change of f0,0.891330891330891,0.793406593406593,0.933333333333333,0.793406593406593
Spectral centroid,0.681318681318681,0.451037851037851,0.915506715506715,0.451037851037851
f0,0.9995115995116,0.997557997557998,1,0.997557997557998
