feature,mean,CI_l,CI_u
-|Δf0|,0.598477189309008,0.530381350357543,0.657270318021201
Pulse clarity,0.566214793357955,0.391840607210626,0.727781835889944
Spectral centroid,0.482029114798949,0.395553200642994,0.598920695313205
f0,0.975983357435216,0.753579844420501,0.996137193902434
