feature,experiment,datalang,sex,type_m,type_l,annotator,annotatorlang,p,tau
f0 ratio,With texts,English,m,song,desc,Dhwani,Marathi,0.476440949082414,0.00151957214955412
Sign of f0 slope,With texts,English,m,song,desc,Dhwani,Marathi,1,0
IOI rate,With texts,English,m,song,desc,Shafagh,Farsi,0.716911764705882,0.0854905330853043
f0 ratio,With texts,English,m,song,desc,Shafagh,Farsi,0.449873050379995,0.00201215377402692
Sign of f0 slope,With texts,English,m,song,desc,Shafagh,Farsi,0.833333333333333,0.166666666666667
IOI rate,With texts,English,m,song,desc,Patrick,English,0.812091503267974,0.0590966021422339
f0 ratio,With texts,English,m,song,desc,Patrick,English,0.412436933486832,0.00173892404425332
Sign of f0 slope,With texts,English,m,song,desc,Patrick,English,0.583333333333333,0.300462606288666
IOI rate,With texts,English,m,song,desc,Yuto,Japanese,0.890374331550802,0.0444952689577016
f0 ratio,With texts,English,m,song,desc,Yuto,Japanese,0.488444012394683,0.00187641697584272
Sign of f0 slope,With texts,English,m,song,desc,Yuto,Japanese,0.625,0.279508497187474
IOI rate,With texts,Japanese,m,song,desc,Dhwani,Marathi,0.879166666666667,0.0475472800120229
f0 ratio,With texts,Japanese,m,song,desc,Dhwani,Marathi,0.559272278027229,0.00156631379172297
Sign of f0 slope,With texts,Japanese,m,song,desc,Dhwani,Marathi,NaN,NaN
IOI rate,With texts,Japanese,m,song,desc,Shafagh,Farsi,0.878676470588235,0.0543741907046725
f0 ratio,With texts,Japanese,m,song,desc,Shafagh,Farsi,0.635819229765273,0.00191839632859001
Sign of f0 slope,With texts,Japanese,m,song,desc,Shafagh,Farsi,0.75,0.25
IOI rate,With texts,Japanese,m,song,desc,Patrick,English,0.923169267707083,0.0351264415518876
f0 ratio,With texts,Japanese,m,song,desc,Patrick,English,0.598953950240508,0.00197590763264995
Sign of f0 slope,With texts,Japanese,m,song,desc,Patrick,English,1,0
IOI rate,With texts,Japanese,m,song,desc,Yuto,Japanese,0.915441176470588,0.0357361935609787
f0 ratio,With texts,Japanese,m,song,desc,Yuto,Japanese,0.61484860071941,0.0019088259218348
Sign of f0 slope,With texts,Japanese,m,song,desc,Yuto,Japanese,0.75,0.25
IOI rate,With texts,Marathi,m,song,recit,Dhwani,Marathi,0.948387096774194,0.029780980953505
f0 ratio,With texts,Marathi,m,song,recit,Dhwani,Marathi,0.643881175837661,0.00207663582834624
Sign of f0 slope,With texts,Marathi,m,song,recit,Dhwani,Marathi,0.5,0
IOI rate,With texts,Marathi,m,song,recit,Shafagh,Farsi,0.963440860215054,0.0278662515843169
f0 ratio,With texts,Marathi,m,song,recit,Shafagh,Farsi,0.601574151986114,0.00257441525461003
Sign of f0 slope,With texts,Marathi,m,song,recit,Shafagh,Farsi,0.166666666666667,0.166666666666667
IOI rate,With texts,Marathi,m,song,recit,Patrick,English,0.9,0.0474546533484754
f0 ratio,With texts,Marathi,m,song,recit,Patrick,English,0.607306611371846,0.00229419686324031
Sign of f0 slope,With texts,Marathi,m,song,recit,Patrick,English,0.25,0.144337567297406
IOI rate,With texts,Marathi,m,song,recit,Yuto,Japanese,0.947916666666667,0.0364467421776074
f0 ratio,With texts,Marathi,m,song,recit,Yuto,Japanese,0.616856493291564,0.00238636168026616
Sign of f0 slope,With texts,Marathi,m,song,recit,Yuto,Japanese,0.125,0.125
IOI rate,With texts,Farsi,f,song,recit,Dhwani,Marathi,0.935483870967742,0.035603636858126
f0 ratio,With texts,Farsi,f,song,recit,Dhwani,Marathi,0.664480820148258,0.00119702986117378
Sign of f0 slope,With texts,Farsi,f,song,recit,Dhwani,Marathi,1,0
IOI rate,With texts,Farsi,f,song,recit,Shafagh,Farsi,0.956168831168831,0.0292201111569188
f0 ratio,With texts,Farsi,f,song,recit,Shafagh,Farsi,0.679742954114915,0.00131610225087925
Sign of f0 slope,With texts,Farsi,f,song,recit,Shafagh,Farsi,1,0
IOI rate,With texts,Farsi,f,song,recit,Patrick,English,1,0
f0 ratio,With texts,Farsi,f,song,recit,Patrick,English,0.680384669629799,0.00141830746352001
Sign of f0 slope,With texts,Farsi,f,song,recit,Patrick,English,1,0
IOI rate,With texts,Farsi,f,song,recit,Yuto,Japanese,0.981818181818182,0.0168325552594892
f0 ratio,With texts,Farsi,f,song,recit,Yuto,Japanese,0.686861399498721,0.00132404560727976
Sign of f0 slope,With texts,Farsi,f,song,recit,Yuto,Japanese,1,0
IOI rate,With texts,Yoruba,f,song,recit,Dhwani,Marathi,0.55,0.0937622172490532
f0 ratio,With texts,Yoruba,f,song,recit,Dhwani,Marathi,0.305176290895089,0.0014827583983695
Sign of f0 slope,With texts,Yoruba,f,song,recit,Dhwani,Marathi,0.5,0
IOI rate,With texts,Yoruba,f,song,recit,Shafagh,Farsi,0.575,0.0939624785136123
f0 ratio,With texts,Yoruba,f,song,recit,Shafagh,Farsi,0.3428098066529,0.00170158243825561
Sign of f0 slope,With texts,Yoruba,f,song,recit,Shafagh,Farsi,0.5,0
IOI rate,With texts,Yoruba,f,song,recit,Florence,Yoruba,0.617857142857143,0.0947737741461363
f0 ratio,With texts,Yoruba,f,song,recit,Florence,Yoruba,0.377004384329094,0.00173057701490372
