feature,experiment,datalang,sex,type_m,type_l,annotator,annotatorlang,p,tau
Sign of f0 slope,Automated,Marathi,m,inst,desc,Jong_Wempe_2008,n/a,0.5,0
IOI rate,Automated,Marathi,m,inst,desc,Prosogram,n/a,0.565277777777778,0.0679829627871728
f0 ratio,Automated,Marathi,m,inst,desc,Prosogram,n/a,0.443675207928052,0.00166683450385334
Sign of f0 slope,Automated,Marathi,m,inst,desc,Prosogram,n/a,0.5,0
IOI rate,Automated,Farsi,f,inst,desc,Jong_Wempe_2008,n/a,0.6875,0.0758443011155985
f0 ratio,Automated,Farsi,f,inst,desc,Jong_Wempe_2008,n/a,0.380123675157334,0.00178086753219086
Sign of f0 slope,Automated,Farsi,f,inst,desc,Jong_Wempe_2008,n/a,0.5,0
IOI rate,Automated,Farsi,f,inst,desc,Prosogram,n/a,0.717011128775835,0.0981245779139049
f0 ratio,Automated,Farsi,f,inst,desc,Prosogram,n/a,0.503510073391065,0.00150255186120212
Sign of f0 slope,Automated,Farsi,f,inst,desc,Prosogram,n/a,0.5,0
IOI rate,Automated,Yoruba,f,inst,desc,Jong_Wempe_2008,n/a,0.712,0.074872936213741
f0 ratio,Automated,Yoruba,f,inst,desc,Jong_Wempe_2008,n/a,0.199777120323127,0.00133022560304135
Sign of f0 slope,Automated,Yoruba,f,inst,desc,Jong_Wempe_2008,n/a,0.5,0
IOI rate,Automated,Yoruba,f,inst,desc,Prosogram,n/a,0.679310344827586,0.0779617621099118
f0 ratio,Automated,Yoruba,f,inst,desc,Prosogram,n/a,0.191536200495677,0.0012183110688077
Sign of f0 slope,Automated,Yoruba,f,inst,desc,Prosogram,n/a,0.5,0
IOI rate,Automated,English,m,inst,desc,Jong_Wempe_2008,n/a,0.603864734299517,0.0763536535114698
f0 ratio,Automated,English,m,inst,desc,Jong_Wempe_2008,n/a,0.306137895942322,0.00167438944960858
Sign of f0 slope,Automated,English,m,inst,desc,Jong_Wempe_2008,n/a,1,0
IOI rate,Automated,English,m,inst,desc,Prosogram,n/a,0.531512605042017,0.0868585011461983
f0 ratio,Automated,English,m,inst,desc,Prosogram,n/a,0.329916482501216,0.0017543245653084
Sign of f0 slope,Automated,English,m,inst,desc,Prosogram,n/a,1,0
IOI rate,Automated,Japanese,m,inst,desc,Jong_Wempe_2008,n/a,0.455375253549696,0.0756769432150966
f0 ratio,Automated,Japanese,m,inst,desc,Jong_Wempe_2008,n/a,0.309155116780303,0.001983913778149
Sign of f0 slope,Automated,Japanese,m,inst,desc,Jong_Wempe_2008,n/a,1,0
IOI rate,Automated,Japanese,m,inst,desc,Prosogram,n/a,0.700854700854701,0.069904614911636
f0 ratio,Automated,Japanese,m,inst,desc,Prosogram,n/a,0.321702816267631,0.00173056103715724
Sign of f0 slope,Automated,Japanese,m,inst,desc,Prosogram,n/a,1,0
