feature,mean,CI_l,CI_u
Pulse clarity,0.483662331889391,0.368366285119667,0.757633136094675
Rate of change of f0,0.587821108841118,0.507902520224078,0.643261321805587
Spectral centroid,0.51591175248003,0.484722687702954,0.544923467451914
f0,0.992039432236085,0.930992562869164,0.997148227447936
