feature,pvalue,mean,CI_l,CI_u
IOI rate,0,0.874888529114229,0.835778112150511,0.909709811066841
Sign of f0 slope,0.0827522476733256,0.575395274921086,0.475936455314736,0.66929971565409
f0 ratio,0.120669141844247,0.531154089059346,0.482583714334638,0.579519554182588
