feature,lang,diff,stderr,ci95_l,ci95_u,method
IOI rate,Macedonian,0.975521669341894,0.0116198595729689,0.952476760482944,0.998566578200843,common language effect size
f0 ratio,Macedonian,0.405881881713867,0.0124727109490438,0.381421327349284,0.43034243607845,common language effect size
Sign of f0 slope,Macedonian,0.5,0.273861278752583,-1.26820902221726,2.26820902221726,common language effect size
IOI rate,Portuguese,0.932661837935717,0.0217210456778033,0.889606823019288,0.975716852852147,common language effect size
f0 ratio,Portuguese,0.397286891937256,0.0124092585089909,0.37295054598102,0.421623237893491,common language effect size
Sign of f0 slope,Portuguese,0.666666666666667,0.235702260395516,0.0122522795074812,1.32108105382585,common language effect size
IOI rate,English,0.990972222222222,0.00802248287012218,0.975012804320034,1.00693164012441,common language effect size
f0 ratio,English,0.600311279296875,0.0127966180204603,0.575214184008528,0.625408374585222,common language effect size
Sign of f0 slope,English,0.75,0.25,-2.42655118404367,3.92655118404367,common language effect size
IOI rate,Swedish,0.677272727272727,0.0634935667213109,0.550365235661772,0.804180218883683,common language effect size
f0 ratio,Swedish,0.533185958862305,0.0128819959514799,0.507921614834396,0.558450302890213,common language effect size
Sign of f0 slope,Swedish,0.125,0.125,-0.272805788160464,0.522805788160464,common language effect size
IOI rate,Bulgarian,0.887928372954616,0.0296288555760162,0.829241973258292,0.94661477265094,common language effect size
f0 ratio,Bulgarian,0.385696887969971,0.0123900670295302,0.361397184161478,0.409996591778463,common language effect size
Sign of f0 slope,Bulgarian,0.55,0.189296944860009,0.0935831389052832,1.00641686109472,common language effect size
IOI rate,Greek,0.940873015873016,0.0174214518997323,0.906450889230599,0.975295142515433,common language effect size
f0 ratio,Greek,0.548702716827393,0.0127603893823931,0.523678006338564,0.573727427316221,common language effect size
Sign of f0 slope,Greek,0.633333333333334,0.206827894099848,0.0666464012052439,1.20002026546142,common language effect size
IOI rate,Mandarin,0.98968008255934,0.0107442611310397,0.967172652260423,1.01218751285826,common language effect size
f0 ratio,Mandarin,0.571459770202637,0.012689691411811,0.546573698533424,0.596345841871849,common language effect size
Sign of f0 slope,Mandarin,0.5,0,NaN,NaN,common language effect size
IOI rate,German,0.806567701304543,0.0459911704270589,0.715115213216921,0.898020189392166,common language effect size
f0 ratio,German,0.632614135742188,0.0124857666522417,0.608127638418336,0.657100633066039,common language effect size
Sign of f0 slope,German,0.225,0.160078105935821,-0.164057554843542,0.614057554843542,common language effect size
IOI rate,Japanese,0.95809968847352,0.020566035980916,0.916406817912804,0.999792559034237,common language effect size
f0 ratio,Japanese,0.574586391448975,0.0126695939384645,0.549739527692879,0.59943325520507,common language effect size
Sign of f0 slope,Japanese,0.75,0.25,-2.42655118404367,3.92655118404367,common language effect size
IOI rate,Thai,0.953535353535354,0.0272680813168029,0.896296409981698,1.01077429708901,common language effect size
f0 ratio,Thai,0.54469633102417,0.0128444326274443,0.519505964217836,0.569886697830503,common language effect size
Sign of f0 slope,Thai,0.5,0,NaN,NaN,common language effect size
IOI rate,Balinese,0.907054871220604,0.0353312629770789,0.83645996154176,0.977649780899449,common language effect size
f0 ratio,Balinese,0.638598918914795,0.0125868305147091,0.613914386326477,0.663283451503112,common language effect size
Sign of f0 slope,Balinese,0.75,0.25,-2.42655118404367,3.92655118404367,common language effect size
IOI rate,Chilean,0.875,0.0442779203428239,0.785691113451473,0.964308886548527,common language effect size
f0 ratio,Chilean,0.371090412139893,0.0131979646949711,0.345197714380019,0.396983109899766,common language effect size
Sign of f0 slope,Chilean,0.3,0.122474487139159,-0.0400436903291278,0.640043690329128,common language effect size
IOI rate,English,0.743650793650794,0.0408409503157847,0.662871052525779,0.824430534775808,common language effect size
f0 ratio,English,0.531198024749756,0.0128036365719048,0.506088088076449,0.556307961423062,common language effect size
Sign of f0 slope,English,0.833333333333333,0.166666666666667,0.116224545041757,1.55044212162491,common language effect size
IOI rate,Wolof,0.701372212692967,0.0530028139931354,0.595763536117715,0.80698088926822,common language effect size
f0 ratio,Wolof,0.470145225524902,0.0128063676655748,0.445029737458208,0.495260713591597,common language effect size
Sign of f0 slope,Wolof,0.666666666666667,0.105409255338946,0.395703549584422,0.937629783748912,common language effect size
IOI rate,Hebrew,0.857584182885388,0.0336871476212243,0.790710349992239,0.924458015778537,common language effect size
f0 ratio,Hebrew,0.395468235015869,0.0124427997519737,0.371066175586413,0.419870294445325,common language effect size
Sign of f0 slope,Hebrew,0.433333333333333,0.19436506316151,-0.140107391182234,1.0067740578489,common language effect size
IOI rate,Catalan,0.98477366255144,0.00867332843212702,0.967590809067274,1.00195651603561,common language effect size
f0 ratio,Catalan,0.74528694152832,0.0108839166407555,0.723940541905345,0.766633341151296,common language effect size
Sign of f0 slope,Catalan,0.833333333333333,0.166666666666667,0.116224545041757,1.55044212162491,common language effect size
IOI rate,Portuguese,0.945887445887446,0.0238247954422738,0.89844880111959,0.993326090655302,common language effect size
f0 ratio,Portuguese,0.614192008972168,0.0124391826759101,0.589796820787766,0.63858719715657,common language effect size
Sign of f0 slope,Portuguese,0.666666666666667,0.166666666666667,0.238236360727281,1.09509697260605,common language effect size
IOI rate,Amamidialect,0.811111111111111,0.0464673974737857,0.717840152314445,0.904382069907777,common language effect size
f0 ratio,Amamidialect,0.69687557220459,0.0118723511114437,0.673589627685487,0.720161516723693,common language effect size
Sign of f0 slope,Amamidialect,0.55,0.278388218141501,-1.1007746848444,2.2007746848444,common language effect size
IOI rate,Swahili,0.973932584269663,0.0126797293826763,0.9487906819568,0.999074486582525,common language effect size
f0 ratio,Swahili,0.665524482727051,0.0120920472573048,0.641809892048026,0.689239073406075,common language effect size
Sign of f0 slope,Swahili,0.541666666666667,0.208333333333333,-0.0349390015245544,1.11827233485789,common language effect size
IOI rate,Dutch,0.842424242424243,0.0375078770972291,0.768037293761578,0.916811191086907,common language effect size
f0 ratio,Dutch,0.684608936309814,0.0117937272953598,0.66147975676856,0.707738115851069,common language effect size
Sign of f0 slope,Dutch,1,0,NaN,NaN,common language effect size
IOI rate,Spanish,0.780187897209174,0.0421728831392819,0.696599228983758,0.86377656543459,common language effect size
f0 ratio,Spanish,0.555196762084961,0.0126820738073807,0.530325379800203,0.580068144369719,common language effect size
Sign of f0 slope,Spanish,0.702380952380952,0.130952380952381,0.413807576078048,0.990954328683857,common language effect size
IOI rate,Punjabi,0.778906627963232,0.043462685248331,0.692850712088281,0.864962543838182,common language effect size
f0 ratio,Punjabi,0.37937068939209,0.0123018888277397,0.355244399617588,0.403496979166592,common language effect size
Sign of f0 slope,Punjabi,0.5,0,NaN,NaN,common language effect size
IOI rate,HainanHua,0.992690058479532,0.00762479813473994,0.976789493344797,1.00859062361427,common language effect size
f0 ratio,HainanHua,0.742527484893799,0.0110852349648984,0.72078778955291,0.764267180234688,common language effect size
Sign of f0 slope,HainanHua,0.666666666666667,0.166666666666667,-0.05044212162491,1.38377545495824,common language effect size
IOI rate,Williche,0.677601809954751,0.0736386978034893,0.530096486724324,0.825107133185178,common language effect size
f0 ratio,Williche,0.558167934417725,0.0133464601663833,0.531991846429947,0.584344022405502,common language effect size
Sign of f0 slope,Williche,0.5,0,NaN,NaN,common language effect size
IOI rate,Euskara,0.88868778280543,0.0423790140962862,0.801583738935113,0.975791826675747,common language effect size
f0 ratio,Euskara,0.784141063690186,0.01044046242939,0.763664855641959,0.804617271738412,common language effect size
Sign of f0 slope,Euskara,0.583333333333333,0.300462606288666,-0.777721960012307,1.94438862667897,common language effect size
IOI rate,Danish,0.879199328107503,0.0291017661494934,0.821509349085009,0.936889307129996,common language effect size
f0 ratio,Danish,0.449860095977783,0.0126988980495752,0.424955852002667,0.4747643399529,common language effect size
Sign of f0 slope,Danish,0.5,0,NaN,NaN,common language effect size
IOI rate,Turkish,0.946969696969697,0.0219628602912354,0.90231553519361,0.991623858745785,common language effect size
f0 ratio,Turkish,0.402836322784424,0.0124631038198197,0.378394259270772,0.427278386298075,common language effect size
