feature,lang,diff,stderr,ci95_l,ci95_u,method
f0,English,0.926479713934211,0.00374701866968276,0.91913385490381,0.933825572964612,common language effect size
-|Δf0|,English,0.764756812781233,0.00659957437678648,0.751818566010047,0.777695059552418,common language effect size
Spectral centroid,English,0.424616342698261,0.00925525609901952,0.406470877895035,0.442761807501486,common language effect size
f0,English,0.918328782305958,0.00391145748088721,0.910659707136527,0.925997857475389,common language effect size
-|Δf0|,English,0.817703419143017,0.00559291549318235,0.806738956901347,0.828667881384687,common language effect size
Spectral centroid,English,0.478801917363356,0.00933694084519066,0.460495331582033,0.497108503144678,common language effect size
f0,Mandarin,0.912745219224643,0.00345075371365011,0.905980456381807,0.919509982067478,common language effect size
-|Δf0|,Mandarin,0.740749392604263,0.0065511156709204,0.7279061508717,0.753592634336826,common language effect size
Spectral centroid,Mandarin,0.523359757125991,0.00922965381873693,0.505263805016217,0.541455709235764,common language effect size
f0,Spanish,0.800872471753612,0.00605371321437045,0.789004326525897,0.812740616981328,common language effect size
-|Δf0|,Spanish,0.70744234785674,0.00746751541785726,0.692802191700553,0.722082504012927,common language effect size
Spectral centroid,Spanish,0.57825375,0.00912812901040256,0.560357041637046,0.596150458362954,common language effect size
f0,Chilean,0.678859348589233,0.00987242823099338,0.659497244456938,0.698221452721529,common language effect size
-|Δf0|,Chilean,0.776366192894829,0.0074498559518318,0.761758404896666,0.790973980892992,common language effect size
Spectral centroid,Chilean,0.443746064125685,0.00954986096642487,0.425020428336777,0.462471699914592,common language effect size
f0,English,0.907886615159673,0.00412469848211832,0.899800260250609,0.915972970068737,common language effect size
-|Δf0|,English,0.537599376089777,0.00828841590057842,0.521349780708506,0.553848971471048,common language effect size
Spectral centroid,English,0.68916323436803,0.00841660654941108,0.672661793752242,0.705664674983817,common language effect size
f0,Catalan,0.834700310065219,0.00606142753405517,0.822817026384443,0.846583593745995,common language effect size
-|Δf0|,Catalan,0.665040065947718,0.00767059279969162,0.650002312299989,0.680077819595446,common language effect size
Spectral centroid,Catalan,0.235044925104865,0.00731936333786826,0.22069478744533,0.2493950627644,common language effect size
f0,Spanish,0.911910248377951,0.00428088369798694,0.903517008320926,0.920303488434975,common language effect size
-|Δf0|,Spanish,0.520011847748094,0.00850652145771521,0.503334980294172,0.536688715202015,common language effect size
Spectral centroid,Spanish,0.722116295293118,0.00819415979703265,0.706050604067604,0.738181986518632,common language effect size
f0,English,0.964129522065815,0.002220103296007,0.959776753763232,0.968482290368399,common language effect size
-|Δf0|,English,0.702081220365599,0.00777709454865504,0.686833441568806,0.717328999162393,common language effect size
Spectral centroid,English,0.65291958041958,0.00890460548635684,0.635460336975031,0.67037882386413,common language effect size
f0,English,0.973067548718249,0.0022688773296058,0.968618401247517,0.97751669618898,common language effect size
-|Δf0|,English,0.739061310054446,0.00731960946695161,0.724709980976898,0.753412639131994,common language effect size
Spectral centroid,English,0.731994528947576,0.00815816884798977,0.715999174149446,0.747989883745705,common language effect size
f0,Kannada,0.900822506341546,0.00408700170982718,0.892810226439734,0.908834786243358,common language effect size
-|Δf0|,Kannada,0.726599434266959,0.00717886072525529,0.712525289031822,0.740673579502097,common language effect size
Spectral centroid,Kannada,0.540937177588118,0.00921810316615315,0.522863761203693,0.559010593972542,common language effect size
f0,English,0.941749988181017,0.00273459616263609,0.936389199227545,0.947110777134488,common language effect size
-|Δf0|,English,0.666275629812759,0.00695243349632489,0.652646340771453,0.679904918854066,common language effect size
Spectral centroid,English,0.611544156496442,0.00915553782169087,0.593593015988515,0.629495297004369,common language effect size
f0,Polish,0.547456756086146,0.00813691638173673,0.531504875002569,0.563408637169723,common language effect size
-|Δf0|,Polish,0.604665656556971,0.00804598750800196,0.588891257450978,0.620440055662965,common language effect size
Spectral centroid,Polish,0.37361038961039,0.00885453401919096,0.356250568518287,0.390970210702492,common language effect size
f0,Spanish,0.928936643985632,0.00354255391438749,0.921991570025041,0.935881717946223,common language effect size
-|Δf0|,Spanish,0.488507724206407,0.00800159786659904,0.472821067472459,0.504194380940355,common language effect size
Spectral centroid,Spanish,0.537593774856512,0.00953536905016049,0.518897306673704,0.55629024303932,common language effect size
