dataname,performer,type,language,sex,path,audiofilepath,pair
(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,Florence Nweke,song,Yoruba,F,./data/Stage 1 RR Excerpt/,./audio/,1
(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,Florence Nweke,desc,Yoruba,F,./data/Stage 1 RR Excerpt/,./audio/,1
(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_song,John McBride,song,English,M,./data/Stage 1 RR Excerpt/,./audio/,2
(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_desc,John McBride,desc,English,M,./data/Stage 1 RR Excerpt/,./audio/,2
(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_song,Parimal Sadaphal,song,Marathi,M,./data/Stage 1 RR Excerpt/,./audio/,3
(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220430_desc,Parimal Sadaphal,desc,Marathi,M,./data/Stage 1 RR Excerpt/,./audio/,3
(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_song,Shafagh Hadavi,song,Farsi,F,./data/Stage 1 RR Excerpt/,./audio/,4
(excerpt) Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220502_desc,Shafagh Hadavi,desc,Farsi,F,./data/Stage 1 RR Excerpt/,./audio/,4
(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_song,Yuto Ozaki,song,Japanese,M,./data/Stage 1 RR Excerpt/,./audio/,5
(excerpt) Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_desc,Yuto Ozaki,desc,Japanese,M,./data/Stage 1 RR Excerpt/,./audio/,5
