dataname,performer,type,language,sex,path,audiofilepath,pair
Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_song,Parimal,song,Marathi,M,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,1
Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220430_desc,Parimal,desc,Marathi,M,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,1
Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220430_song,Shafagh,song,Farsi,F,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,2
Shafagh_Hadavi_Farsi_Iran_Traditional_YekHamoomi_20220502_desc,Shafagh,desc,Farsi,F,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,2
Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_desc,Yuto,desc,Japanese,M,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,3
Yuto_Ozaki_Japanese_Japanese_Traditional_Asatoya-Yunta_20220209_song,Yuto,song,Japanese,M,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,3
Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,Florence,desc,Yoruba,F,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,4
Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,Florence,song,Yoruba,F,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,4
John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_desc,John,desc,English,M,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,5
John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_song,John,song,English,M,./data/Automated F0/,./data/Stage 1 RR Audio/full-length/,5
