annotator,dataname_annot,dataname_ref,relpath_annot,relpath_ref,type,language,sex
Yuto,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_song,/Yuto/,/Florence/,song,Yoruba,F
Yuto,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_inst,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_inst,/Yuto/,/Florence/,inst,Yoruba,F
Yuto,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_desc,/Yuto/,/Florence/,desc,Yoruba,F
Yuto,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_recit,(excerpt) Florence_Nweke_Yoruba_Yoruba_Traditional_Ise-Agbe_20220504_recit,/Yuto/,/Florence/,recit,Yoruba,F
Yuto,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_song,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_song,/Yuto/,/Patrick/,song,English,M
Yuto,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_inst,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_inst,/Yuto/,/Patrick/,inst,English,M
Yuto,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_desc,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_desc,/Yuto/,/Patrick/,desc,English,M
Yuto,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_recit,(excerpt) John_McBride_English_Irish_Anthem_FieldsOfAthenry_20220219_recit,/Yuto/,/Patrick/,recit,English,M
Yuto,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_song,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_song,/Yuto/,/Dhwani/,song,Marathi,M
Yuto,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_inst,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220320_inst,/Yuto/,/Dhwani/,inst,Marathi,M
Yuto,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220430_desc,(excerpt) Parimal_Sadaphal_Marathi_Spiritual_Maajhe Maahera Pandhari_20220430_desc,/Yuto/,/Dhwani/,desc,Marathi,M
