dataname,performer,type,language,sex
John_McBride_English_Irish_Traditional_ArthurMcBride_inst,John McBride,inst,English,M
John_McBride_English_Irish_Traditional_ArthurMcBride_song,John McBride,song,English,M
John_McBride_English_Irish_Traditional_ArthurMcBride_recit,John McBride,recit,English,M
John_McBride_English_Irish_Traditional_ArthurMcBride_desc,John McBride,desc,English,M
Patrick_Savage_English_NewZealand+USA_Traditional_Scarborough Fair_20220220_inst,Patrick Savage,inst,English,M
Patrick_Savage_English_NewZealand+USA_Traditional_Scarborough Fair_20220208_song,Patrick Savage,song,English,M
Patrick_Savage_English_NewZealand+USA_Traditional_Scarborough Fair_20220208_recit,Patrick Savage,recit,English,M
Patrick_Savage_English_NewZealand+USA_Traditional_Scarborough Fair_20220208_desc,Patrick Savage,desc,English,M
Emmanouil_Benetos_Greek_Greek_Traditional_SarantaPalikaria_20220214_song,Emmanouil Benetos,song,Greek,M
Emmanouil_Benetos_Greek_Greek_Traditional_SarantaPalikaria_20220214_recit,Emmanouil Benetos,recit,Greek,M
Emmanouil_Benetos_Greek_Greek_Traditional_SarantaPalikaria_20220214_desc,Emmanouil Benetos,desc,Greek,M
Peter_Pfordresher_English_US_Traditional_ComingRoundMountain_inst,Peter Pfordresher,inst,English,M
Peter_Pfordresher_English_US_Traditional_ComingRoundMountain_song,Peter Pfordresher,song,English,M
Peter_Pfordresher_English_US_Traditional_ComingRoundMountain_recit,Peter Pfordresher,recit,English,M
Peter_Pfordresher_English_US_Traditional_ComingRoundMountain_desc,Peter Pfordresher,desc,English,M
