feature,name,lang,sex,type,mean,std,groupid
f0,Pitch height,English,M,desc,-2534.42186577115,637.435531569783,1
-|Δf0|,Pitch stability,English,M,desc,-3435.71108060213,2567.19333196948,1
Spectral centroid,Timbral brightness,English,M,desc,1084.69343285753,1489.02838011726,1
f0,Pitch height,English,M,song,-1587.34543972593,368.956377963468,1
-|Δf0|,Pitch stability,English,M,song,-1584.5859016437,1876.42237906424,1
Spectral centroid,Timbral brightness,English,M,song,858.792648067224,1367.67111285032,1
f0,Pitch height,Fante,F,desc,-1975.1489230337,856.127116464279,69
-|Δf0|,Pitch stability,Fante,F,desc,-5013.53536378492,4871.40393825388,69
Spectral centroid,Timbral brightness,Fante,F,desc,719.544733462293,1520.79848794863,69
f0,Pitch height,Fante,F,song,-1298.11023795301,419.130303189474,69
-|Δf0|,Pitch stability,Fante,F,song,-1615.60328353655,2246.93171722714,69
Spectral centroid,Timbral brightness,Fante,F,song,439.44861743095,616.241050869996,69
f0,Pitch height,Macedonian,M,desc,-2182.51944148168,329.956791928737,2
-|Δf0|,Pitch stability,Macedonian,M,desc,-2649.19988845072,2340.62629711183,2
Spectral centroid,Timbral brightness,Macedonian,M,desc,1694.27737312303,2363.84957065822,2
f0,Pitch height,Macedonian,M,song,-1496.36786486357,435.432863030147,2
-|Δf0|,Pitch stability,Macedonian,M,song,-1457.28898323322,1717.73633405038,2
Spectral centroid,Timbral brightness,Macedonian,M,song,1001.19961582861,1271.62791508939,2
f0,Pitch height,Italian,M,desc,-2599.26866052974,412.313126013716,3
-|Δf0|,Pitch stability,Italian,M,desc,-2990.86847770931,2549.98776285092,3
Spectral centroid,Timbral brightness,Italian,M,desc,830.933179528406,1388.2400397902,3
f0,Pitch height,Italian,M,song,-2563.7512356827,526.146802241548,3
-|Δf0|,Pitch stability,Italian,M,song,-2085.6407896784,2145.31908004741,3
Spectral centroid,Timbral brightness,Italian,M,song,569.242810258645,945.604122555828,3
f0,Pitch height,Guarani,F,desc,-1291.7174067945,456.266294592008,61
-|Δf0|,Pitch stability,Guarani,F,desc,-2232.70755497311,1937.18445113381,61
Spectral centroid,Timbral brightness,Guarani,F,desc,1389.26600005556,1479.04510651246,61
f0,Pitch height,Guarani,F,song,-904.208310132575,540.466997386725,61
-|Δf0|,Pitch stability,Guarani,F,song,-1215.58046869273,2312.62973192499,61
Spectral centroid,Timbral brightness,Guarani,F,song,990.258537479931,687.865321585091,61
f0,Pitch height,Portuguese,F,desc,-1196.24800959446,270.45391929694,4
-|Δf0|,Pitch stability,Portuguese,F,desc,-2812.2837844849,2659.09558192279,4
Spectral centroid,Timbral brightness,Portuguese,F,desc,1127.97891508,1765.03092052675,4
f0,Pitch height,Portuguese,F,song,-299.403067637567,346.749693264213,4
-|Δf0|,Pitch stability,Portuguese,F,song,-1869.16628708666,2293.20659078701,4
Spectral centroid,Timbral brightness,Portuguese,F,song,991.745384841461,1326.7602601327,4
f0,Pitch height,English,F,desc,-1521.83560104895,700.097211653769,5
-|Δf0|,Pitch stability,English,F,desc,-3373.59619007423,3110.85098251839,5
Spectral centroid,Timbral brightness,English,F,desc,1142.09518702203,1931.57949094259,5
f0,Pitch height,English,F,song,-794.238545843105,576.020083485849,5
-|Δf0|,Pitch stability,English,F,song,-988.25015199657,1461.41547984327,5
Spectral centroid,Timbral brightness,English,F,song,808.739205602231,1375.89336379632,5
f0,Pitch height,Ronga,M,desc,-2252.91599320582,181.202868919298,6
-|Δf0|,Pitch stability,Ronga,M,desc,-2066.63108971552,2005.15154223615,6
Spectral centroid,Timbral brightness,Ronga,M,desc,871.757030828125,1360.36829610082,6
f0,Pitch height,Ronga,M,song,-1816.96867839268,305.865562709035,6
-|Δf0|,Pitch stability,Ronga,M,song,-1924.11971715639,2092.83216518108,6
Spectral centroid,Timbral brightness,Ronga,M,song,1039.87764354579,1444.02066679482,6
f0,Pitch height,Swedish,M,desc,-2511.0739590863,475.615646030463,7
-|Δf0|,Pitch stability,Swedish,M,desc,-3567.87793676596,3600.6610538471,7
Spectral centroid,Timbral brightness,Swedish,M,desc,862.950536284628,1514.61776731035,7
f0,Pitch height,Swedish,M,song,-1768.99858940219,433.482391771219,7
-|Δf0|,Pitch stability,Swedish,M,song,-2173.90565967215,2599.01613400445,7
Spectral centroid,Timbral brightness,Swedish,M,song,645.902287824228,1166.04179439276,7
f0,Pitch height,Hindi,F,desc,-1400.05409250718,787.248633150282,8
-|Δf0|,Pitch stability,Hindi,F,desc,-2626.40766768981,2070.22983495055,8
