feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
IOI rate,English,0.652478213507625,0.0336331607343885,0.586215270558009,0.718741156457241,common language effect size,1
f0 ratio,English,0.4595947265625,0.0362581950227377,0.388176173499214,0.531013279625786,common language effect size,1
IOI rate,Macedonian,0.615028089887641,0.0382272035869092,0.539543681915449,0.690512497859832,common language effect size,2
f0 ratio,Macedonian,0.36834716796875,0.0348934982867384,0.299624971006604,0.437069364930896,common language effect size,2
IOI rate,Italian,0.551753613427965,0.0363288272910857,0.480070035503779,0.62343719135215,common language effect size,3
f0 ratio,Italian,0.45477294921875,0.0360400878717355,0.383796601353904,0.525749297083596,common language effect size,3
IOI rate,Portuguese,0.568378778270978,0.0276568455568887,0.514010548321397,0.62274700822056,common language effect size,4
f0 ratio,Portuguese,0.432159423828125,0.0360473932999148,0.361158939737075,0.503159907919175,common language effect size,4
IOI rate,English,0.814108967955122,0.0295923570204159,0.755578529567826,0.872639406342418,common language effect size,5
f0 ratio,English,0.464019775390625,0.0365285315381123,0.392065991336626,0.535973559444624,common language effect size,5
IOI rate,Ronga,0.524874963224478,0.0256439222908022,0.474479274862222,0.575270651586734,common language effect size,6
f0 ratio,Ronga,0.525787353515625,0.0364503400933032,0.45398031470972,0.59759439232153,common language effect size,6
IOI rate,Swedish,0.556766673861429,0.0413080023614146,0.475292884415426,0.638240463307432,common language effect size,7
f0 ratio,Swedish,0.48480224609375,0.0363333632988374,0.41324171692811,0.55636277525939,common language effect size,7
IOI rate,Hindi,0.571895242349788,0.0352420855240117,0.502491443857603,0.641299040841973,common language effect size,8
f0 ratio,Hindi,0.48785400390625,0.0368129679779133,0.415327078167172,0.560380929645328,common language effect size,8
IOI rate,Bulgarian,0.578351978627484,0.0386079417847248,0.502257157025496,0.654446800229472,common language effect size,9
f0 ratio,Bulgarian,0.45330810546875,0.0361609802729776,0.382085922179544,0.524530288757956,common language effect size,9
IOI rate,Greek,0.759917755200774,0.0273546199330777,0.706073837020333,0.813761673381215,common language effect size,10
f0 ratio,Greek,0.508819580078125,0.036254534705418,0.437421479598998,0.580217680557252,common language effect size,10
