feature,pvalue,mean,CI_l,CI_u
IOI rate,0,0.790949418746269,0.735709744821129,0.844651910823126
Sign of f0 slope,0,0.735256265476949,0.659488602665842,0.810068140623757
f0 ratio,0,0.695814337202465,0.615214441252925,0.773736189813986
