feature,name,lang,sex,type,mean,std,groupid
f0,Pitch height,English,M,desc,-2370.05395198274,307.97520821438,1
f0,Pitch height,English,M,recit,-2275.78602620087,356.708653907677,1
f0,Pitch height,English,M,song,-1576.82631833575,302.210967670828,1
f0,Pitch height,Macedonian,M,desc,-2213.39553219448,289.798204621241,2
f0,Pitch height,Macedonian,M,inst,1014.82229047828,317.62691434465,2
f0,Pitch height,Macedonian,M,recit,-2085.04098360656,360.309160882114,2
f0,Pitch height,Macedonian,M,song,-1458.85356274546,264.179928942185,2
f0,Pitch height,Italian,M,desc,-2532.90357825731,293.966391039797,3
f0,Pitch height,Italian,M,inst,-1094.69850352113,363.185149742633,3
f0,Pitch height,Italian,M,recit,-2734.71206225681,306.786377220345,3
f0,Pitch height,Italian,M,song,-2505.8695168114,318.44509462902,3
f0,Pitch height,Guarani,F,recit,-1159.21270718232,228.511759841272,61
f0,Pitch height,Guarani,F,song,-842.725892179195,313.339522304938,61
f0,Pitch height,Guarani,F,desc,-1237.04873294347,194.697612365122,61
f0,Pitch height,Portuguese,F,desc,-1176.15783724741,264.005682672729,4
f0,Pitch height,Portuguese,F,recit,-1137.57575757576,315.585686314597,4
f0,Pitch height,Portuguese,F,song,-242.11732355637,335.713441787247,4
f0,Pitch height,English,F,desc,-1443.79071009076,268.980656000004,5
f0,Pitch height,English,F,inst,-890.141267879216,265.134173222277,5
f0,Pitch height,English,F,recit,-1389.15782493369,222.939104696989,5
f0,Pitch height,English,F,song,-869.179744716468,296.115631580789,5
f0,Pitch height,Ronga,M,desc,-2252.05359743664,149.485151925839,6
f0,Pitch height,Ronga,M,recit,-2293.84983261597,203.611306272117,6
f0,Pitch height,Ronga,M,song,-1724.77785697315,305.442946954371,6
f0,Pitch height,Swedish,M,desc,-2451.3887871015,217.17463655498,7
f0,Pitch height,Swedish,M,inst,642.573250946781,394.194179184785,7
f0,Pitch height,Swedish,M,recit,-2246.61608497724,376.967484830834,7
f0,Pitch height,Swedish,M,song,-1704.04768211921,385.465654644824,7
f0,Pitch height,Hindi,F,desc,-1138.76397107166,155.3174053126,8
f0,Pitch height,Hindi,F,inst,-1612.58658008658,246.969504183268,8
f0,Pitch height,Hindi,F,recit,-1158.71332990221,158.503531109658,8
f0,Pitch height,Hindi,F,song,-408.211439287389,237.261660890318,8
f0,Pitch height,Bulgarian,F,desc,-1506.27063679245,326.453072039469,9
f0,Pitch height,Bulgarian,F,recit,-1657.87753568745,321.19194353376,9
f0,Pitch height,Bulgarian,F,song,-1069.79354271909,269.949226304777,9
f0,Pitch height,Greek,M,desc,-2281.46097201767,235.343223809742,10
f0,Pitch height,Greek,M,recit,-2353.20197044335,216.818913673856,10
f0,Pitch height,Greek,M,song,-1639.93052228079,385.221134252125,10
f0,Pitch height,Mandarin,F,desc,-945.395452298567,254.121291848323,11
f0,Pitch height,Mandarin,F,recit,-975.018050541516,273.089178116924,11
f0,Pitch height,Mandarin,F,song,-346.812000863372,414.774793039038,11
f0,Pitch height,German,M,desc,-2476.06574336249,252.525342922165,12
f0,Pitch height,German,M,inst,-634.295268763934,395.428259528833,12
f0,Pitch height,German,M,recit,-2679.61077844311,287.60298154071,12
f0,Pitch height,German,M,song,-1493.69412901667,412.978318479208,12
f0,Pitch height,Yoruba,F,desc,-1396.12198795181,326.576752572027,13
f0,Pitch height,Yoruba,F,inst,-417.190607150413,721.725856739148,13
