feature,pvalue,mean,CI_l,CI_u
IOI rate,0,0.885478863147839,0.848345588235295,0.913333333333333
Sign of f0 slope,0,0.749999999999999,0.583333333333332,0.833333333333332
f0 ratio,0.00308225684811081,0.625775337219238,0.532100200653076,0.780320644378663
