feature,name,lang,sex,type,mean,std,groupid
f0,Pitch height,English,M,desc,-2348.8719637711,312.77041623287,1
IOI rate,Temporal rate,English,M,desc,6.21365901502424,3.31341589607502,1
-|Δf0|,Pitch stability,English,M,desc,-1810.37054092308,2249.33439233835,1
f0 ratio,Pitch interval size,English,M,desc,246.411901070926,244.970376839909,1
Spectral centroid,Timbral brightness,English,M,desc,1007.25444129963,1474.24370724712,1
Sign of f0 slope,Pitch declination,English,M,desc,-1,0,1
Pulse clarity,Pulse clarity,English,M,desc,0.138237216226754,0.0344001380162648,1
Onset-break interval,Phrase length,English,M,desc,7.7082993195,1.6655010329894,1
IOI ratio deviation,Rhythmic regularity,English,M,desc,0.131290707403103,0.0970144352515464,1
Spectral flatness,Timbral noiseness,English,M,desc,0.00403581520018063,0.00705454686915293,1
f0 ratio deviation,Interval regularity,English,M,desc,152.509140014648,138.417877197266,1
90% f0 quantile length,Pitch range,English,M,desc,912.499999999999,137.885822331382,1
Short-term energy,Lousness,English,M,desc,0.00195993176412383,0.0031039796544584,1
IOI rate,Temporal rate,English,M,inst,3.29454060999772,1.0962456700808,1
Pulse clarity,Pulse clarity,English,M,inst,0.24152711765451,0.131870896028616,1
Onset-break interval,Phrase length,English,M,inst,8.018866213,0.386872390816219,1
IOI ratio deviation,Rhythmic regularity,English,M,inst,0.0197674733791828,0.0141925813771713,1
Spectral flatness,Timbral noiseness,English,M,inst,0.000380742595680662,0.000596434677130567,1
Short-term energy,Lousness,English,M,inst,0.00406331763261375,0.00613269725498775,1
f0,Pitch height,English,M,recit,-2281.77654109589,335.05340259862,1
IOI rate,Temporal rate,English,M,recit,5.46886096648559,2.92358275897863,1
-|Δf0|,Pitch stability,English,M,recit,-2436.65267730845,2656.73580136273,1
f0 ratio,Pitch interval size,English,M,recit,281.031128667866,218.803798504403,1
Spectral centroid,Timbral brightness,English,M,recit,1405.86463045104,1820.49075187168,1
Sign of f0 slope,Pitch declination,English,M,recit,-1,0,1
Pulse clarity,Pulse clarity,English,M,recit,0.154864458934888,0.0446123639067732,1
Onset-break interval,Phrase length,English,M,recit,5.4218594105,0.435103166432274,1
IOI ratio deviation,Rhythmic regularity,English,M,recit,0.0781725764882023,0.0552419547533286,1
Spectral flatness,Timbral noiseness,English,M,recit,0.00675655212748425,0.011886883805265,1
f0 ratio deviation,Interval regularity,English,M,recit,269.216705322266,204.699462890625,1
90% f0 quantile length,Pitch range,English,M,recit,857.500000000004,130.814754519508,1
Short-term energy,Lousness,English,M,recit,0.00194820128339423,0.00277310556564538,1
f0,Pitch height,English,M,song,-1649.41885964912,310.051464730124,1
IOI rate,Temporal rate,English,M,song,2.86606087989517,0.864726619408447,1
-|Δf0|,Pitch stability,English,M,song,-498.912672999043,614.778153427609,1
f0 ratio,Pitch interval size,English,M,song,158.597544461497,132.909541856993,1
Spectral centroid,Timbral brightness,English,M,song,1088.11772416167,1671.59272160195,1
Sign of f0 slope,Pitch declination,English,M,song,-0.333333333333333,1.15470053837925,1
Pulse clarity,Pulse clarity,English,M,song,0.194033067687388,0.0684034977347911,1
Onset-break interval,Phrase length,English,M,song,5.92495842766667,3.13871761036746,1
IOI ratio deviation,Rhythmic regularity,English,M,song,0.0309392893610173,0.025263140318424,1
Spectral flatness,Timbral noiseness,English,M,song,0.000793666583304378,0.00123308661129336,1
f0 ratio deviation,Interval regularity,English,M,song,156.094482421875,132.819412231445,1
90% f0 quantile length,Pitch range,English,M,song,867.333333333331,367.506916034698,1
Short-term energy,Lousness,English,M,song,0.00157650185443219,0.00227149133355077,1
f0,Pitch height,Fante,F,desc,-1722.53999030538,370.011069152326,69
IOI rate,Temporal rate,Fante,F,desc,4.01788354702833,1.61497138726016,69
-|Δf0|,Pitch stability,Fante,F,desc,-1710.7004041217,1788.79331059909,69
f0 ratio,Pitch interval size,Fante,F,desc,302.239030505641,293.889970094648,69
Spectral centroid,Timbral brightness,Fante,F,desc,568.859454656057,1145.82182788363,69
Sign of f0 slope,Pitch declination,Fante,F,desc,-1,0,69
Pulse clarity,Pulse clarity,Fante,F,desc,0.1563392072039,0.0282538014861909,69
Onset-break interval,Phrase length,Fante,F,desc,8.4673015875,1.0846793552354,69
IOI ratio deviation,Rhythmic regularity,Fante,F,desc,0.118018042288312,0.0857810967665448,69
Spectral flatness,Timbral noiseness,Fante,F,desc,0.000898619977401678,0.000973453364774391,69
f0 ratio deviation,Interval regularity,Fante,F,desc,250.288208007812,231.353302001953,69
90% f0 quantile length,Pitch range,Fante,F,desc,1136.50000000001,348.603643124967,69
Short-term energy,Lousness,Fante,F,desc,0.00955879818182483,0.0117839432073037,69
IOI rate,Temporal rate,Fante,F,inst,3.11706912908437,1.35506291228211,69
Pulse clarity,Pulse clarity,Fante,F,inst,0.247468345655382,0.0944258822274372,69
Onset-break interval,Phrase length,Fante,F,inst,8.4520634925,0.00615712027636549,69
IOI ratio deviation,Rhythmic regularity,Fante,F,inst,0.0865393879660479,0.0806327358574852,69
Spectral flatness,Timbral noiseness,Fante,F,inst,0.00238336397824395,0.00307310597860285,69
Short-term energy,Lousness,Fante,F,inst,0.000138132896666717,0.000650633501357059,69
f0,Pitch height,Fante,F,recit,-1958.30603889458,317.452652983396,69
IOI rate,Temporal rate,Fante,F,recit,3.51941916163114,1.53550325230425,69
-|Δf0|,Pitch stability,Fante,F,recit,-1311.25402104791,1439.41593154793,69
f0 ratio,Pitch interval size,Fante,F,recit,231.413881445964,163.435379699871,69
Spectral centroid,Timbral brightness,Fante,F,recit,501.578037714826,1098.10314392374,69
Sign of f0 slope,Pitch declination,Fante,F,recit,-1,0,69
Pulse clarity,Pulse clarity,Fante,F,recit,0.196603845544439,0.0534244240769109,69
Onset-break interval,Phrase length,Fante,F,recit,2.5468662134,0.895376662354448,69
IOI ratio deviation,Rhythmic regularity,Fante,F,recit,0.0887701698740044,0.0618542233070782,69
Spectral flatness,Timbral noiseness,Fante,F,recit,0.000946248620246279,0.00160329596066136,69
