npvi,type,lang,groupid
34.4357852317062,inst,English,1
37.9833201710156,song,English,1
47.1152456470564,inst,Fante,69
55.9093148552663,song,Fante,69
51.8912515781517,inst,Macedonian,2
64.1685589605899,song,Macedonian,2
42.9084812057471,inst,Italian,3
45.4712542919401,song,Italian,3
47.8617079510621,inst,Guarani,61
56.4223589056631,song,Guarani,61
25.897134535981,inst,Portuguese,4
31.7575255226849,song,Portuguese,4
18.5816243052252,inst,English,5
14.5140464834614,song,English,5
40.729567479875,song,Ronga,6
50.446213949961,inst,Ronga,6
98.7816513033457,inst,Swedish,7
65.7901474762843,song,Swedish,7
34.8521525442805,inst,Cherokee,75
71.293970678436,song,Cherokee,75
32.1204734326999,inst,Hindi,8
38.7735162692715,song,Hindi,8
39.502920728466,song,Bulgarian,9
27.9044829773575,inst,Bulgarian,9
25.115548148445,inst,Greek,10
40.4889490000022,song,Greek,10
32.4412831144398,song,Mandarin,11
80.4251179701154,inst,Mandarin,11
35.6346411832178,inst,German,12
33.7529361319865,song,German,12
43.0079946245417,inst,Yoruba,13
41.47925279701,song,Yoruba,13
50.8189879058326,song,Japanese,14
40.7249327385482,inst,Japanese,14
65.8435869331705,inst,Thai,15
82.8995751837465,song,Thai,15
64.0362643941652,inst,Spanish,16
54.7284866993984,song,Spanish,16
96.8663223837539,inst,Balinese,17
62.5358113258679,song,Balinese,17
38.8867694954112,inst,Tunisian,73
43.1599829365091,song,Tunisian,73
34.0072691069353,inst,Ngarigu,71
28.6599509067553,song,Ngarigu,71
85.2093756010384,inst,Chilean,18
67.3178858790037,song,Chilean,18
33.4089762727466,inst,Twi,68
22.3051944498256,song,Twi,68
60.9823390151116,inst,English,19
44.4390849984006,song,English,19
35.5555949183834,song,Spanish,62
49.0333528867104,inst,Spanish,62
22.0688839674607,inst,Dutch,63
50.8579151784946,song,Dutch,63
38.7284117328066,song,Wolof,20
25.2227659204006,inst,Wolof,20
62.1867938781349,inst,Hebrew,21
47.0277714548891,song,Hebrew,21
52.1589206918492,inst,Catalan,22
42.6614716485842,song,Catalan,22
44.8734461200576,inst,Portuguese,23
48.993549762162,song,Portuguese,23
35.7744683085398,inst,Amamidialect,24
83.3371485532659,song,Amamidialect,24
48.4905984818665,song,Swahili,25
62.1125206736582,inst,Swahili,25
61.3970903958698,inst,Dutch,26
61.0731593816998,song,Dutch,26
56.6830981716883,inst,Spanish,27
45.3276295840749,song,Spanish,27
48.3551255875799,inst,Punjabi,28
35.4970168577045,song,Punjabi,28
43.4657660805575,song,HainanHua,29
31.9409882959069,inst,HainanHua,29
55.670220863078,song,Williche,30
38.5548347203349,inst,Williche,30
89.3169679171183,inst,Euskara,31
75.6481672942375,song,Euskara,31
45.2547025897345,inst,Danish,32
46.3405167655583,song,Danish,32
25.3808119383034,inst,Hebrew,33
53.1961186381154,song,Hebrew,33
70.5923996121926,inst,IsiXhosa,34
81.2972033460447,song,IsiXhosa,34
75.8323857977546,song,Turkish,35
45.6983381970274,inst,Turkish,35
29.2129673332778,inst,Ukrainian,36
36.5315329799714,song,Ukrainian,36
37.8926983700927,inst,Marathi,37
36.8502339884653,song,Marathi,37
50.1144088796039,song,Dholuo,72
35.7653391260393,inst,Dholuo,72
63.8105092966453,song,English,38
62.9641280794924,inst,English,38
35.7677928157263,inst,French,39
38.7926989951041,song,French,39
43.2510421483751,inst,English,40
44.7848331851635,song,English,40
40.3149153306452,inst,Azerbaijani,41
40.5178507809478,song,Azerbaijani,41
62.4331906762004,song,Russian,42
61.1648071230958,inst,Russian,42
50.5858730952241,song,Cantonese,64
52.2380640580965,inst,Cantonese,64
18.9914413576371,song,Te Reo Māori,74
37.4513766600405,inst,Te Reo Māori,74
65.9704572627767,song,Rikbaktsa,66
77.548271274619,inst,Rikbaktsa,66
54.8051544894172,inst,Urdu,43
25.8213033999063,song,Urdu,43
51.7794108547967,inst,Lithuanian,44
50.196405958554,song,Lithuanian,44
68.3919676910504,inst,Korean,45
66.957318701121,song,Korean,45
33.3731850485767,inst,Farsi,46
25.4033924808573,song,Farsi,46
51.5235795545302,song,Persian,47
62.5461289979092,inst,Persian,47
37.932232468424,inst,Kannada,48
49.6576859622335,song,Kannada,48
52.0809330301067,song,Japanese,49
52.419293129089,inst,Japanese,49
50.5115990625208,song,Burmese,65
27.7826196232563,inst,Burmese,65
61.2088237632644,inst,Te Reo Māori,70
50.365668387625,song,Te Reo Māori,70
32.3926216321229,song,Gaeilge,67
52.6883529330599,inst,Gaeilge,67
53.8991483771564,inst,English,50
53.2769623014903,song,English,50
40.7722072132454,inst,Georgian,51
33.5902460731505,song,Georgian,51
72.5798302629539,inst,Puri,52
56.3921321614798,song,Puri,52
66.3769949909948,inst,Norwegian,53
54.0741874039641,song,Norwegian,53
35.3665820917563,song,Kuikuro,54
32.7485148943788,inst,Kuikuro,54
29.0068976651711,song,Ainu,55
49.1897634207768,inst,Ainu,55
26.6987213613962,inst,Slovenian,56
38.7180820367105,song,Slovenian,56
55.5381550326916,inst,Portuguese,57
51.1644748556814,song,Portuguese,57
30.3666000547574,inst,Polish,58
21.235782310758,song,Polish,58
55.2420528846952,inst,DutchFlemish,59
36.5344398293935,song,DutchFlemish,59
56.0681171952157,inst,Japanese,60
49.5872723515046,song,Japanese,60
