feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
IOI rate,English,0.325850661625709,0.0584250671631434,0.209618845867748,0.44208247738367,common language effect size,1
f0 ratio,English,0.99609375,0.0055242717280199,NaN,NaN,common language effect size,1
Sign of f0 slope,English,0.833333333333333,0.235702260395516,NaN,NaN,common language effect size,1
IOI rate,Macedonian,0.167606516290727,0.0436154406936424,0.0808528615159222,0.254360171065531,common language effect size,2
f0 ratio,Macedonian,0.464752197265625,0.0363116677136373,0.393241514800456,0.536262879730794,common language effect size,2
Sign of f0 slope,Macedonian,0.5,0.288675134594813,-0.963149884441334,1.96314988444133,common language effect size,2
IOI rate,Italian,0.52669133192389,0.0635169239876863,0.400294133114596,0.653088530733184,common language effect size,3
f0 ratio,Italian,0.476593017578125,0.0364709178878581,0.40476882757969,0.54841720757656,common language effect size,3
Sign of f0 slope,Italian,0.583333333333333,0.17873008824606,0.146437064007192,1.02022960265947,common language effect size,3
IOI rate,Portuguese,0.306055646481178,0.0541268120555293,0.198618151360636,0.413493141601721,common language effect size,4
f0 ratio,Portuguese,0.99609375,0.0055242717280199,NaN,NaN,common language effect size,4
Sign of f0 slope,Portuguese,0.833333333333333,0.235702260395516,NaN,NaN,common language effect size,4
IOI rate,English,0.64125,0.0915967636178438,0.455357000140479,0.827142999859521,common language effect size,5
f0 ratio,English,0.543701171875,0.0372919680175276,0.470170167807907,0.617232175942093,common language effect size,5
Sign of f0 slope,English,0.5,0.353553390593274,-1.02121746114833,2.02121746114833,common language effect size,5
IOI rate,Ronga,0.638811188811189,0.056235335323946,0.527287433707048,0.75033494391533,common language effect size,6
f0 ratio,Ronga,0.99609375,0.0055242717280199,NaN,NaN,common language effect size,6
Sign of f0 slope,Ronga,0.928571428571429,0.101015254455221,NaN,NaN,common language effect size,6
IOI rate,Swedish,0.18407960199005,0.0421930323774313,0.100234205407886,0.267924998572213,common language effect size,7
f0 ratio,Swedish,0.36175537109375,0.0358919075503334,0.290967265323793,0.432543476863707,common language effect size,7
Sign of f0 slope,Swedish,0.5,0.25,-2.67655118404367,3.67655118404367,common language effect size,7
IOI rate,Hindi,0.410335917312662,0.0622805179408339,0.286508466841311,0.534163367784012,common language effect size,8
f0 ratio,Hindi,0.48193359375,0.0370361262863355,0.408995769425355,0.554871418074645,common language effect size,8
Sign of f0 slope,Hindi,0.25,0.111803398874989,-0.0373997863104496,0.53739978631045,common language effect size,8
IOI rate,Bulgarian,0.381040036815463,0.065626343092037,0.249725802347435,0.51235427128349,common language effect size,9
f0 ratio,Bulgarian,0.99609375,0.0055242717280199,NaN,NaN,common language effect size,9
Sign of f0 slope,Bulgarian,0.875,0.176776695296637,NaN,NaN,common language effect size,9
IOI rate,Greek,0.235683760683761,0.0500658818628328,0.136249473284976,0.335118048082545,common language effect size,10
f0 ratio,Greek,0.99609375,0.0055242717280199,NaN,NaN,common language effect size,10
Sign of f0 slope,Greek,0.833333333333333,0.235702260395516,NaN,NaN,common language effect size,10
IOI rate,Mandarin,0.123249299719888,0.0582235643391757,0.00490868224280112,0.241589917196975,common language effect size,11
f0 ratio,Mandarin,0.99609375,0.0055242717280199,NaN,NaN,common language effect size,11
Sign of f0 slope,Mandarin,0.75,0.353553390593274,NaN,NaN,common language effect size,11
IOI rate,German,0.576594345825115,0.0658133157060428,0.445473895443739,0.707714796206492,common language effect size,12
f0 ratio,German,0.451324462890625,0.0362617396990819,0.37991136259876,0.52273756318249,common language effect size,12
Sign of f0 slope,German,0.4,0.1,0.122355489480221,0.677644510519779,common language effect size,12
IOI rate,Yoruba,0.507407407407407,0.0637920558461674,0.380426911527036,0.634387903287778,common language effect size,13
f0 ratio,Yoruba,0.48358154296875,0.0371294461357023,0.410457447200729,0.556705638736771,common language effect size,13
Sign of f0 slope,Yoruba,0.5,0.0833333333333333,0.285784847030307,0.714215152969693,common language effect size,13
IOI rate,Japanese,0.709848484848485,0.0737524978708999,0.561127731750422,0.858569237946547,common language effect size,14
f0 ratio,Japanese,0.530120849609375,0.0367389963689125,0.457759956212894,0.602481743005856,common language effect size,14
Sign of f0 slope,Japanese,0.416666666666667,0.300462606288666,-0.944388626678973,1.77772196001231,common language effect size,14
IOI rate,Thai,0.182905982905983,0.0642509261419463,0.0513015481672493,0.314510417644717,common language effect size,15
f0 ratio,Thai,0.4384765625,0.0365092205242864,0.366562232561829,0.510390892438171,common language effect size,15
Sign of f0 slope,Thai,0.416666666666667,0.220479275922049,-0.171617015172464,1.0049503485058,common language effect size,15
IOI rate,Spanish,0.303645833333333,0.0679590696582512,0.167646177531568,0.439645489135099,common language effect size,16
f0 ratio,Spanish,0.99609375,0.0055242717280199,NaN,NaN,common language effect size,16
Sign of f0 slope,Spanish,0.833333333333333,0.235702260395516,NaN,NaN,common language effect size,16
IOI rate,Balinese,0.192520775623269,0.0570730861875529,0.077816674135186,0.307224877111351,common language effect size,17
f0 ratio,Balinese,0.600067138671875,0.0365606107887345,0.528048256860972,0.672086020482778,common language effect size,17
Sign of f0 slope,Balinese,0.416666666666667,0.300462606288666,-0.944388626678973,1.77772196001231,common language effect size,17
