feature,pvalue,mean,CI_l,CI_u
IOI rate,0,0.85267857142857,0.767708333333333,0.894825858914349
Sign of f0 slope,0.000151511521926828,0.625,0.5,0.75
f0 ratio,0.302150658630516,0.4637451171875,0.431396484374999,0.541839599609375
