feature,pvalue,mean,CI_l,CI_u
IOI rate,0.425803001019607,0.482991519320922,0.431843047349397,0.534821037493968
Sign of f0 slope,0.00138747224210523,0.602258365480853,0.520357243610392,0.694137582642354
f0 ratio,0,0.675401516721868,0.601125189767456,0.749955458651803
