feature,pvalue,mean,CI_l,CI_u
-|Δf0|,1,0.694162534771022,0.66560272449731,0.730729768485961
Spectral centroid,0.904875,0.523508193641411,0.478879759951197,0.581918937735956
f0,1,0.918590618018585,0.894609587330808,0.947304746868423
