feature,pvalue,mean,CI_l,CI_u
-|Δf0|,0,0.672529747567203,0.649551376136801,0.695516825148409
Spectral centroid,0.0104478564606394,0.542306355729979,0.502881301478463,0.581561414383523
f0,0,0.88495572101021,0.853360985181904,0.91587151420072
