feature,pvalue,mean,CI_l,CI_u
-|Δf0|,0,0.910458990434146,0.882597973646344,0.93772859517452
Spectral centroid,9.09971034799284e-05,0.59430495226766,0.540511025829611,0.648832809049391
f0,0,0.940789869038101,0.883807872535799,0.990300307103618
