feature,pvalue,mean,CI_l,CI_u
IOI rate,0,0.850573091493363,0.820407477953728,0.878831025116905
Sign of f0 slope,0,0.609860551508457,0.548726201797092,0.664120064021712
f0 ratio,0.292948346277616,0.515527272143933,0.479196982691082,0.55171887604699
