feature,lang,diff,stderr,ci95_l,ci95_u,method
-|Δf0|,Portuguese,0.81238543807281,0.00629886839381145,0.800036018954153,0.824734857191466,common language effect size
Spectral centroid,Portuguese,0.446959384272071,0.00985104232613053,0.427642145659059,0.466276622885084,common language effect size
f0,Amamidialect,0.959768127775058,0.00248277104633948,0.954900587316551,0.964635668233564,common language effect size
-|Δf0|,Amamidialect,0.960622675860226,0.00293218269206304,0.954872671968939,0.966372679751513,common language effect size
Spectral centroid,Amamidialect,0.883498868763604,0.00628747560085571,0.871170592314576,0.895827145212632,common language effect size
f0,Swahili,0.999800558436378,0.000282052964174929,NaN,NaN,common language effect size
-|Δf0|,Swahili,0.999800558436378,0.000282052964174929,NaN,NaN,common language effect size
Spectral centroid,Swahili,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size
f0,Dutch,0.999999909266141,1.28317054079657e-07,0.999999657700275,1.00000016083201,common language effect size
-|Δf0|,Dutch,0.984264571222631,0.00188827417174182,0.980562489253752,0.987966653191511,common language effect size
Spectral centroid,Dutch,0.510871995137729,0.0102122513459867,0.490845791831258,0.530898198444201,common language effect size
f0,Spanish,0.99943145765504,0.000109353479743418,0.999217058792737,0.999645856517343,common language effect size
-|Δf0|,Spanish,0.960272296652836,0.00267580460406188,0.955025729506811,0.96551886379886,common language effect size
Spectral centroid,Spanish,0.454530734001264,0.00939689454737913,0.436105565554386,0.472955902448141,common language effect size
f0,Punjabi,0.141091667042018,0.00495378293678387,0.131380163544396,0.15080317053964,common language effect size
-|Δf0|,Punjabi,0.978818838812688,0.00211210561316638,0.97467774869981,0.982959928925566,common language effect size
Spectral centroid,Punjabi,0.48352410501396,0.00939764994797292,0.465098190260213,0.501950019767707,common language effect size
f0,HainanHua,0.99457691461085,0.000768716711127746,0.99306961718962,0.996084212032081,common language effect size
-|Δf0|,HainanHua,0.88863196178134,0.00427901971658322,0.880242834671226,0.897021088891454,common language effect size
Spectral centroid,HainanHua,0.642294700192532,0.00956695416171979,0.623534701554505,0.661054698830558,common language effect size
f0,Williche,0.999768732654949,0.000327061415904971,NaN,NaN,common language effect size
