feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
IOI rate,English,0.832532601235415,0.033641928151329,0.765956791346764,0.899108411124067,common language effect size,1
f0 ratio,English,0.4317626953125,0.0358816388530746,0.361094000507868,0.502431390117132,common language effect size,1
Sign of f0 slope,English,0.5,0.176776695296637,0.067443009272416,0.932556990727584,common language effect size,1
IOI rate,Macedonian,0.966666666666667,0.0150615158898938,0.936837300100201,0.996496033233132,common language effect size,2
f0 ratio,Macedonian,0.3582763671875,0.034316420424309,0.290687416333588,0.425865318041412,common language effect size,2
Sign of f0 slope,Macedonian,0.535714285714286,0.176174387939866,0.103668427597571,0.967760143831001,common language effect size,2
IOI rate,Italian,0.779085497835498,0.041026772536892,0.697788317944261,0.860382677726734,common language effect size,3
f0 ratio,Italian,0.49151611328125,0.0362665648124352,0.420089101162211,0.562943125400289,common language effect size,3
Sign of f0 slope,Italian,0.598214285714286,0.13628872787923,0.302848912970171,0.893579658458401,common language effect size,3
IOI rate,Portuguese,0.907532084998948,0.0258450472351202,0.856299454818307,0.958764715179589,common language effect size,4
f0 ratio,Portuguese,0.411041259765625,0.0354746799033416,0.341175892592375,0.480906626938875,common language effect size,4
Sign of f0 slope,Portuguese,0.45,0.16583123951777,0.0724873432893885,0.827512656710611,common language effect size,4
IOI rate,English,0.966666666666667,0.0191272961173959,0.928577025910724,1.00475630742261,common language effect size,5
f0 ratio,English,0.603546142578125,0.0363475572130306,0.531928413686169,0.675163871470081,common language effect size,5
Sign of f0 slope,English,0.55,0.189296944860009,0.0935831389052832,1.00641686109472,common language effect size,5
IOI rate,Ronga,0.716723874904653,0.0417907185619381,0.634074443502589,0.799373306306717,common language effect size,6
f0 ratio,Ronga,0.51171875,0.0363749726458946,0.44007339615779,0.58336410384221,common language effect size,6
Sign of f0 slope,Ronga,0.715277777777778,0.107806768724028,0.484114625560731,0.946440929994825,common language effect size,6
IOI rate,Swedish,0.617839607201309,0.06107703694767,0.496336705803559,0.73934250859906,common language effect size,7
f0 ratio,Swedish,0.5306396484375,0.0364457867992787,0.458846382671837,0.602432914203163,common language effect size,7
Sign of f0 slope,Swedish,0.142857142857143,0.0922138891954147,-0.0827821154552864,0.368496401169572,common language effect size,7
IOI rate,Hindi,0.895424836601307,0.0367092720124556,0.822381724889458,0.968467948313156,common language effect size,8
f0 ratio,Hindi,0.5113525390625,0.036563014635212,0.439338408949099,0.583366669175901,common language effect size,8
Sign of f0 slope,Hindi,0.75,0.0944911182523068,0.526564010220474,0.973435989779526,common language effect size,8
IOI rate,Bulgarian,0.86500547645126,0.0322266859526773,0.801173037676707,0.928837915225812,common language effect size,9
f0 ratio,Bulgarian,0.434783935546875,0.0360041255006399,0.363860259249272,0.505707611844478,common language effect size,9
Sign of f0 slope,Bulgarian,0.420634920634921,0.127355607427629,0.146522844282913,0.694746996986928,common language effect size,9
IOI rate,Greek,0.935040482018452,0.0185998611967088,0.898304031816072,0.971776932220833,common language effect size,10
f0 ratio,Greek,0.539886474609375,0.0362543486154268,0.468488993185909,0.611283956032841,common language effect size,10
Sign of f0 slope,Greek,0.633333333333333,0.161589328580544,0.263941826932619,1.00272483973405,common language effect size,10
IOI rate,Mandarin,0.951864406779661,0.0255604351068471,0.900924234443373,1.00280457911595,common language effect size,11
f0 ratio,Mandarin,0.60821533203125,0.0354880737234082,0.538324358404892,0.678106305657608,common language effect size,11
Sign of f0 slope,Mandarin,0.566666666666667,0.19436506316151,-0.00677405784890039,1.14010739118223,common language effect size,11
IOI rate,German,0.810330912025827,0.0441607003096267,0.722587039617004,0.89807478443465,common language effect size,12
f0 ratio,German,0.618316650390625,0.0357767792697862,0.547849233149117,0.688784067632133,common language effect size,12
Sign of f0 slope,German,0.2625,0.1375,-0.0723896957935724,0.597389695793572,common language effect size,12
IOI rate,Yoruba,0.80952380952381,0.0405946909407711,0.728982912522457,0.890064706525162,common language effect size,13
f0 ratio,Yoruba,0.53814697265625,0.0363357270825968,0.466576789443639,0.609717155868861,common language effect size,13
Sign of f0 slope,Yoruba,0.3,0.122474487139159,-0.0400436903291278,0.640043690329128,common language effect size,13
IOI rate,Japanese,0.937334393216746,0.0201672291753869,0.897447146477123,0.977221639956369,common language effect size,14
f0 ratio,Japanese,0.557464599609375,0.0361188935615564,0.486329203096716,0.628599996122034,common language effect size,14
Sign of f0 slope,Japanese,0.833333333333333,0.166666666666667,0.116224545041757,1.55044212162491,common language effect size,14
IOI rate,Thai,0.92063492063492,0.0309036534820467,0.858595971010541,0.9826738702593,common language effect size,15
f0 ratio,Thai,0.504180908203125,0.0366213338448571,0.432050136795821,0.576311679610429,common language effect size,15
Sign of f0 slope,Thai,0.75,0.111803398874989,0.46260021368955,1.03739978631045,common language effect size,15
IOI rate,Spanish,0.924776785714286,0.0260826579499503,0.872996160770303,0.976557410658268,common language effect size,16
f0 ratio,Spanish,0.524261474609375,0.0370336501812801,0.451255787163184,0.597267162055566,common language effect size,16
Sign of f0 slope,Spanish,0.2,0.122474487139159,-0.140043690329128,0.540043690329128,common language effect size,16
IOI rate,Balinese,0.874074074074074,0.0401993854899347,0.793724214669314,0.954423933478834,common language effect size,17
f0 ratio,Balinese,0.568450927734375,0.036416776699346,0.496729458271906,0.640172397196844,common language effect size,17
Sign of f0 slope,Balinese,0.666666666666667,0.166666666666667,-0.05044212162491,1.38377545495824,common language effect size,17
IOI rate,Chilean,0.831815421979356,0.0466026054791392,0.738872408638605,0.924758435320108,common language effect size,18
f0 ratio,Chilean,0.33642578125,0.0367487471249092,0.263817905871061,0.409033656628939,common language effect size,18
Sign of f0 slope,Chilean,0.349206349206349,0.113217004902279,0.106293250918578,0.59211944749412,common language effect size,18
IOI rate,English,0.745978301533857,0.0401464112577539,0.666587210128192,0.825369392939523,common language effect size,19
