feature,pvalue,mean,CI_l,CI_u
-|Δf0|,0,0.902780223474048,0.866856269977674,0.938387874619428
Spectral centroid,0,0.740540744391095,0.660134528219458,0.820781520929295
f0,0,0.894301794023824,0.836338280564106,0.95172770422212
