gid
14
16
17
18
19
21
23
27
29
31
33
35
39
40
42
47
49
50
55
56
58
60
69
72
73
83
88
91
92
93
100
107
113
114
115
119
121
126
129
130
131
136
139
140
142
148
149
150
153
154
164
167
168
169
171
172
173
175
178
179
183
185
186
187
189
190
199
201
203
205
206
207
209
