rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
0.104	0.10426562499999979	0.18926562499999985	254	304	291	289	98.11	291	291	291	291	98.27	0	0	0	0	0	0	0	51	51	0	0.08500000000000006	0	0	0	0.1043	0	65.7	0	0	1	0	0	0	0
0.494	0.4942656249999998	0.749265625	320	347	343	339	100.9	343	343	343	343	101.09	0	0	2.87	0	0	0	0	62	62	0	0.2550000000000002	0	0	0	0.305	0	67	0	0	1	0	0	0	0
1.014	1.0142656249999997	1.1692656249999964	146	167	153	154	87.24	153	153	153	153	87.17	0	0	-13.9	0	0	0	0	9	9	0	0.1549999999999967	0	0	0	0.265	0	69.6	0	0	1	0	0	0	0
1.289	1.2892656249999996	1.3592656249999981	215	233	225	226	93.86	225	225	225	225	93.8	0	0	6.71	0	0	0	0	34	34	0	0.06999999999999851	0	0	0	0.12	0	66.7	0	0	1	0	0	0	0
1.419	1.4192656249999998	1.4942656249999982	225	244	240	238	94.81	240	240	240	240	94.95	0	0	1.19	0	0	0	0	38	38	0	0.0749999999999984	0	0	0	0.06	0	62.8	0	0	1	1	0	0.405	0
1.899	1.8992656249999997	2.0192656249999974	223	258	231	235	94.54	231	231	231	231	94.25	0	0	-0.63	0	0	0	0	36	36	0	0.11999999999999766	0	0	0	0.405	0	67.1	0	0	1	0	1	0	0
2.234	2.2342656249999995	2.2692656249999987	186	194	190	190	90.89	190	190	190	190	90.88	0	0	-3.34	0	0	0	0	23	23	0	0.034999999999999254	0	0	0	0.215	0	63.3	0	0	1	0	0	0	0
2.469	2.469265625	2.549265624999998	197	214	209	207	92.38	209	209	209	209	92.49	0	0	1.65	0	0	0	0	29	29	0	0.0799999999999983	0	0	0	0.2	0	66.9	0	0	1	0	0	0	0
2.594	2.594265625	2.7542656249999964	202	208	205	205	92.18	205	205	205	205	92.21	0	0	-0.28	0	0	0	0	28	28	0	0.1599999999999966	0	0	0	0.045	0	67.2	0	0	1	1	0	1.31	0
4.064	4.064265625	4.224265624999997	244	293	289	285	97.9	244	288	244	288	98.1	1	2.92	3.03	2.92	0	2.92	0	39	50	10	0.1599999999999966	0	0	0	1.31	0	76.7	0	0	1	0	1	0	0
4.354	4.354265625	4.454265624999998	263	296	292	288	98.09	292	292	292	292	98.3	0	0	0.26	0	0	0	0	51	51	0	0.09999999999999787	0	0	0	0.13	0	66.9	0	0	1	0	0	0	0
4.639	4.639265625	4.754265624999998	197	206	204	202	91.97	204	204	204	204	92.12	0	0	-6.16	0	0	0	0	28	28	0	0.11499999999999755	0	0	0	0.185	0	71.5	0	0	1	0	0	0	0
4.929	4.929265625	5.019265624999998	266	284	280	278	97.43	280	280	280	280	97.6	0	0	5.53	0	0	0	0	48	48	0	0.08999999999999808	0	0	0	0.175	0	59.7	0	0	1	0	0	0	0
5.244	5.244265625000001	5.444265624999996	342	364	346	350	101.44	343	354	343	354	101.62	1	0.51	3.56	0.51	0	0.51	0	62	64	2	0.19999999999999574	0	0	0	0.225	0	72.4	0	0	1	1	0	0.73	0
6.174	6.174265625	6.329265624999997	338	363	343	346	101.25	338	363	338	363	102.08	1	1.23	-0.76	1.23	0	1.23	0	61	65	4	0.1549999999999967	0	0	0	0.73	0	73.7	0	0	1	1	1	0.405	0
6.734	6.734265625	6.909265624999996	142	259	178	183	90.26	259	142	142	259	96.22	-1	-10.37	-5.83	0	-10.37	10.37	0	43	4	-40	0.17499999999999627	0	0	0	0.405	0	76	0	0	1	1	1	0.355	0
7.264	7.264265625	7.404265624999997	161	189	177	179	89.82	177	177	177	177	89.63	0	0	3.83	0	0	0	0	18	18	0	0.13999999999999702	0	0	0	0.355	0	71.2	0	0	1	0	1	0	0
7.499	7.4992656250000005	7.629265624999998	127	149	137	139	85.45	149	128	128	149	86.73	-1	-2.7	-2.88	0	-2.7	2.7	0	7	0	-11	0.12999999999999723	0	0	0	0.095	0	64	0	0	1	1	0	1.26	0
8.889	8.889265625000002	8.989265625000018	162	188	181	178	89.79	181	181	181	181	90.03	0	0	6.03	0	0	0	0	20	20	0	0.10000000000001563	0	0	0	1.26	0	72.2	0	0	1	0	1	0	0
9.119	9.119265625	9.234265625000019	200	292	243	247	95.4	200	292	200	292	98.29	1	6.53	1.77	6.53	0	6.53	0	26	51	24	0.11500000000001798	0	0	0	0.13	0	77.9	0	0	1	0	0	0	0
9.429	9.429265625000001	9.54926562500002	309	340	315	317	99.73	315	315	315	315	99.6	0	0	1.32	0	0	0	0	56	56	0	0.12000000000001876	0	0	0	0.195	0	67	0	0	1	0	0	0	0
9.644	9.644265625000001	9.654265625000003	604	610	606	608	110.98	606	606	606	606	110.93	0	0	11.34	0	0	0	0	99	99	0	0.010000000000001563	0	0	0	0.095	0	60.8	0	0	1	0	0	0	0
9.884	9.884265625000001	10.159265625000044	294	341	304	306	99.12	313	338	313	338	100.82	1	1.34	-11.43	1.34	0	1.34	0	56	61	5	0.275000000000043	0	0	0	0.23	0	79	0	0	1	1	0	0.189	0
