rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
0.213	0.2128645833333329	0.22286458333333292	387	423	393	399	103.71	393	393	393	393	103.43	0	0	0	0	0	0	0	27	27	0	0.010000000000000009	0	0	0	0.2129	0	58.5	0	0	1	0	0	0	0
0.278	0.2778645833333329	0.44286458333333306	411	422	415	415	104.39	415	415	415	415	104.39	0	0	0.97	0	0	0	0	38	38	0	0.16500000000000015	0	0	0	0.055	0	60.9	0	0	1	0	0	0	0
0.633	0.6328645833333328	0.6528645833333329	389	411	403	401	103.81	403	403	403	403	103.87	0	0	-0.5	0	0	0	0	32	32	0	0.020000000000000018	0	0	0	0.19	0	60.7	0	0	1	0	0	0	0
0.703	0.7028645833333329	0.822864583333333	411	418	415	415	104.38	415	415	415	415	104.38	0	0	0.52	0	0	0	0	38	38	0	0.1200000000000001	0	0	0	0.05	0	62.7	0	0	1	0	0	0	0
1.073	1.0728645833333328	1.5628645833333223	450	476	466	466	106.38	467	462	462	467	106.44	-1	-0.21	2.08	0	-0.21	0.21	0	63	60	-3	0.48999999999998956	0	0	0	0.25	0	68	0	0	1	0	0	0	0
1.898	1.8978645833333327	2.1528645833333275	459	471	466	466	106.39	466	466	466	466	106.39	0	0	0.17	0	0	0	0	62	62	0	0.2549999999999948	0	0	0	0.335	0	67.9	0	0	1	1	0	0.95	0
3.103	3.1028645833333326	3.597864583333322	496	559	554	540	108.94	551	497	497	551	109.29	-1	-1.78	2.92	0	-1.78	1.78	0	97	76	-22	0.49499999999998945	0	0	0	0.95	0	75.1	0	0	1	1	1	0.695	0
4.293	4.292864583333333	4.567864583333328	461	473	467	466	106.4	467	467	467	467	106.41	0	0	-1.07	0	0	0	0	63	63	0	0.27499999999999414	0	0	0	0.695	0	65.9	0	0	1	1	1	0.975	0
5.543	5.542864583333333	5.777864583333328	553	559	555	555	109.41	555	555	555	555	109.41	0	0	3	0	0	0	0	98	98	0	0.234999999999995	0	0	0	0.975	0	74.3	0	0	1	1	1	0.985	0
6.763	6.762864583333333	7.047864583333327	456	473	466	466	106.4	466	466	466	466	106.4	0	0	-3	0	0	0	0	62	62	0	0.2849999999999939	0	0	0	0.985	0	67.2	0	0	1	1	1	0.605	0
7.653	7.652864583333334	7.762864583333331	408	420	416	415	104.39	416	416	416	416	104.41	0	0	-1.96	0	0	0	0	39	39	0	0.10999999999999766	0	0	0	0.605	0	64.7	0	0	1	0	1	0	0
7.973	7.972864583333333	8.097864583333347	457	474	465	465	106.37	465	465	465	465	106.34	0	0	1.93	0	0	0	0	62	62	0	0.1250000000000142	0	0	0	0.21	0	68.4	0	0	1	0	0	0	0
8.358	8.357864583333336	8.37786458333334	331	434	415	397	103.6	415	415	415	415	104.38	0	0	-1.96	0	0	0	0	38	38	0	0.020000000000003126	0	0	0	0.26	0	68.1	0	0	1	0	0	0	0
8.423	8.422864583333334	8.792864583333392	410	419	416	416	104.41	416	416	416	416	104.42	0	0	0.05	0	0	0	0	39	39	0	0.37000000000005784	0	0	0	0.045	0	68.8	0	0	1	1	0	0.445	0
9.238	9.237864583333335	9.252864583333338	391	421	403	405	103.95	403	403	403	403	103.87	0	0	-0.54	0	0	0	0	32	32	0	0.015000000000002345	0	0	0	0.445	0	67	0	0	1	0	1	0	0
9.303	9.302864583333335	9.417864583333353	411	418	415	415	104.4	415	415	415	415	104.4	0	0	0.54	0	0	0	0	38	38	0	0.11500000000001798	0	0	0	0.05	0	68.7	0	0	1	0	0	0	0
9.628	9.627864583333334	9.742864583333352	452	474	465	464	106.33	465	465	465	465	106.35	0	0	1.99	0	0	0	0	62	62	0	0.11500000000001798	0	0	0	0.21	0	70.1	0	0	1	0	0	0	0
9.988	9.987864583333335	10.042864583333344	492	497	496	495	107.45	496	496	496	496	107.45	0	0	1.12	0	0	0	0	75	75	0	0.0550000000000086	0	0	0	0.245	0	70.5	0	0	1	1	0	0.108	0
