rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
0.210	0.2101249999999999	1.3901249999999923	182	197	185	185	90.44	186	191	186	191	90.96	1	0.47	0	0.47	0	0.47	0	10	15	4	1.1799999999999924	0	0	0	0.2101	0	73	0	0	1	0	0	0	0
1.695	1.6951249999999998	2.0001249999999935	205	208	206	206	92.28	206	206	206	206	92.27	0	0	1.34	0	0	0	0	28	28	0	0.3049999999999937	0	0	0	0.305	0	77.5	0	0	1	0	0	0	0
2.100	2.100125	2.415124999999993	207	239	234	231	94.27	234	234	234	234	94.44	0	0	2.21	0	0	0	0	50	50	0	0.3149999999999933	0	0	0	0.1	0	73.9	0	0	1	0	0	0	0
2.465	2.4651249999999996	2.8051249999999923	259	286	277	276	97.34	260	276	260	276	97.32	1	1.05	1.82	1.05	0	1.05	0	68	79	10	0.33999999999999275	0	0	0	0.05	0	70.3	0	0	1	0	0	0	0
2.845	2.845125	3.020124999999996	208	241	233	230	94.19	223	214	214	223	93.61	-1	-0.7	-3.69	0	-0.7	0.7	0	42	34	-8	0.17499999999999627	0	0	0	0.04	0	73.9	0	0	1	0	0	0	0
3.075	3.075125	3.590124999999989	205	214	206	207	92.33	206	206	206	206	92.3	0	0	-0.59	0	0	0	0	28	28	0	0.514999999999989	0	0	0	0.055	0	78.6	0	0	1	0	0	0	0
3.700	3.700125	3.970124999999994	205	215	206	207	92.36	206	206	206	206	92.27	0	0	0.03	0	0	0	0	28	28	0	0.26999999999999424	0	0	0	0.11	0	78.1	0	0	1	0	0	0	0
4.050	4.050125	4.115124999999999	223	240	232	231	94.29	232	232	232	232	94.33	0	0	2.09	0	0	0	0	48	48	0	0.06499999999999861	0	0	0	0.08	0	76.7	0	0	1	0	0	0	0
4.145	4.145125	4.215124999999999	212	222	215	216	93.11	215	215	215	215	93	0	0	-1.29	0	0	0	0	35	35	0	0.06999999999999851	0	0	0	0.03	0	73.4	0	0	1	0	0	0	0
4.290	4.290125000000001	4.4851249999999965	205	210	206	206	92.29	206	206	206	206	92.27	0	0	-0.71	0	0	0	0	28	28	0	0.19499999999999584	0	0	0	0.075	0	73.1	0	0	1	0	0	0	0
4.540	4.540125000000001	4.860124999999994	180	219	185	188	90.67	185	185	185	185	90.43	0	0	-1.81	0	0	0	0	9	9	0	0.3199999999999932	0	0	0	0.055	0	71.5	0	0	1	0	0	0	0
