rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
0.808	0.8080385487528339	0.908038548752834	330	330	330	330	100.42	330	330	330	330	100.42	0	0	0	0	0	0	0	16	16	0	0.10000000000000009	0	0	0	0.808	0	72.1	0	0	1	0	1	0	0
0.948	0.9480385487528339	1.233038548752829	325	331	329	329	100.36	329	329	329	329	100.37	0	0	-0.03	0	0	0	0	15	15	0	0.28499999999999515	0	0	0	0.04	0	71.4	0	0	1	1	0	0.52	0
1.753	1.7530385487528337	2.0430385487528278	293	295	294	294	98.44	294	294	294	294	98.45	0	0	-1.9	0	0	0	0	0	0	0	0.28999999999999404	0	0	0	0.52	0	65.7	0	0	1	1	1	0.4	0
2.443	2.443038548752834	2.578038548752831	389	405	391	391	103.37	391	391	391	391	103.35	0	0	4.95	0	0	0	0	40	40	0	0.13499999999999712	0	0	0	0.4	0	70.8	0	0	1	1	1	0.83	0
3.408	3.4080385487528337	3.59303854875283	493	496	495	495	107.43	495	495	495	495	107.43	0	0	4.1	0	0	0	0	73	73	0	0.18499999999999606	0	0	0	0.83	0	71.5	0	0	1	0	1	0	0
3.663	3.6630385487528336	3.793038548752831	494	497	496	496	107.46	496	496	496	496	107.46	0	0	0.05	0	0	0	0	74	74	0	0.12999999999999723	0	0	0	0.07	0	73.3	0	0	1	0	0	0	0
3.863	3.863038548752834	3.938038548752832	495	498	498	498	107.52	498	498	498	498	107.54	0	0	0.09	0	0	0	0	74	74	0	0.0749999999999984	0	0	0	0.07	0	76.1	0	0	1	0	0	0	0
4.023	4.023038548752834	4.113038548752832	494	497	497	496	107.48	497	497	497	497	107.49	0	0	-0.03	0	0	0	0	74	74	0	0.08999999999999808	0	0	0	0.085	0	75	0	0	1	0	0	0	0
4.193	4.193038548752834	4.268038548752832	494	498	497	497	107.49	497	497	497	497	107.51	0	0	0.03	0	0	0	0	74	74	0	0.0749999999999984	0	0	0	0.08	0	75.7	0	0	1	0	0	0	0
4.323	4.323038548752835	4.52303854875283	490	496	495	494	107.41	495	495	495	495	107.44	0	0	-0.05	0	0	0	0	73	73	0	0.19999999999999574	0	0	0	0.055	0	70.8	0	0	1	1	0	0.685	0
5.208	5.2080385487528345	5.258038548752833	495	500	497	497	107.51	497	497	497	497	107.5	0	0	0.08	0	0	0	0	74	74	0	0.049999999999998934	0	0	0	0.685	0	72.1	0	0	1	0	1	0	0
5.303	5.303038548752834	5.363038548752833	495	500	498	498	107.53	498	498	498	498	107.54	0	0	0.06	0	0	0	0	74	74	0	0.05999999999999872	0	0	0	0.045	0	73.1	0	0	1	0	0	0	0
5.643	5.643038548752834	5.728038548752832	524	526	525	525	108.46	525	525	525	525	108.46	0	0	0.94	0	0	0	0	82	82	0	0.08499999999999819	0	0	0	0.28	0	69.8	0	0	1	0	0	0	0
5.798	5.798038548752834	6.028038548752829	525	529	527	527	108.52	527	527	527	527	108.53	0	0	0.09	0	0	0	0	82	82	0	0.2299999999999951	0	0	0	0.07	0	69.7	0	0	1	0	0	0	0
6.198	6.198038548752835	6.283038548752833	525	528	526	526	108.49	526	526	526	526	108.49	0	0	-0.01	0	0	0	0	82	82	0	0.08499999999999819	0	0	0	0.17	0	70.1	0	0	1	0	0	0	0
6.318	6.318038548752834	6.378038548752833	523	528	524	525	108.45	524	524	524	524	108.43	0	0	-0.04	0	0	0	0	81	81	0	0.05999999999999872	0	0	0	0.035	0	68.6	0	0	1	0	0	0	0
6.433	6.433038548752834	6.538038548752832	525	528	528	527	108.53	528	528	528	528	108.54	0	0	0.14	0	0	0	0	83	83	0	0.10499999999999776	0	0	0	0.055	0	71.9	0	0	1	0	0	0	0
6.583	6.5830385487528345	6.733038548752831	524	528	527	526	108.49	527	527	527	527	108.5	0	0	-0.03	0	0	0	0	82	82	0	0.1499999999999968	0	0	0	0.045	0	71.1	0	0	1	0	0	0	0
6.778	6.778038548752835	6.893038548752832	574	590	587	586	110.36	587	587	587	587	110.39	0	0	1.89	0	0	0	0	98	98	0	0.11499999999999755	0	0	0	0.045	0	65.3	0	0	1	0	0	0	0
6.978	6.978038548752834	7.208038548752829	584	597	590	590	110.48	590	590	590	590	110.47	0	0	0.1	0	0	0	0	98	98	0	0.2299999999999951	0	0	0	0.085	0	65	0	0	1	1	0	0.855	0
8.063	8.063038548752836	8.53303854875291	496	515	498	498	107.53	498	498	498	498	107.53	0	0	-2.93	0	0	0	0	74	74	0	0.47000000000007347	0	0	0	0.855	0	76.3	0	0	1	1	1	0.6	0
9.133	9.133038548752836	9.28803854875286	494	497	497	496	107.48	497	497	497	497	107.49	0	0	-0.03	0	0	0	0	74	74	0	0.15500000000002423	0	0	0	0.6	0	74.3	0	0	1	1	1	0.808	0
