feature,pmi
f0,0.0030796595982142865
IOI rate,0.09991280691964287
-|Δf0|,0.032209123883928575
f0 ratio,-0.00011509486607142827
Spectral centroid,-0.004467773437500001
Sign of f0 slope,0.007910156250000003
Pulse clarity,0.0013776506696428577
Onset-break interval,-0.0035958426339285717
IOI ratio deviation,0.0014578683035714297
Spectral flatness,-0.01212681361607143
f0 ratio deviation,0.01055036272321429
90% f0 quantile length,0.003941127232142858
Short-term energy,0.004261997767857146
