feature,pmi
f0,0.0126922607421875
IOI rate,0.122564697265625
-|Δf0|,0.0168243408203125
f0 ratio,0.0034942626953125
Spectral centroid,0.0013153076171875003
Sign of f0 slope,0.0121826171875
Pulse clarity,0.0082305908203125
Onset-break interval,0.008859252929687499
IOI ratio deviation,0.026910400390625002
Spectral flatness,0.0036346435546875
f0 ratio deviation,0.00888671875
90% f0 quantile length,-0.0006378173828125
Short-term energy,0.0071014404296875005
