feature,pmi
f0,0.005521065848214284
IOI rate,0.18534458705357143
-|Δf0|,0.052350725446428575
f0 ratio,-0.0011579241071428576
Spectral centroid,-0.0007010323660714292
Sign of f0 slope,0.008998325892857144
Pulse clarity,0.001332310267857142
Onset-break interval,0.0008196149553571422
IOI ratio deviation,0.007174246651785713
Spectral flatness,0.00718470982142857
f0 ratio deviation,0.013127790178571429
90% f0 quantile length,0.005765206473214286
Short-term energy,0.0020542689732142854
