feature,mean,CI_l,CI_u
-|Δf0|,0.910057387796959,0.793294433270533,0.933163874114249
Pulse clarity,0.53841642228739,0.350230414746544,0.695238095238095
Spectral centroid,0.725617548471429,0.450821659263727,0.915476526469477
f0,0.999469118077993,0.99732466893491,1
