feature,lang,diff,stderr,method
IOI rate,English,0.796296296296296,0.119870758019869,common language effect size
f0 ratio,English,0.524961948394775,0.0128224887938702,common language effect size
Sign of f0 slope,English,0.75,0.25,common language effect size
IOI rate,Marathi,0.972222222222222,0.0392837100659193,common language effect size
f0 ratio,Marathi,0.679521083831787,0.0122134338259064,common language effect size
Sign of f0 slope,Marathi,0.5,0,common language effect size
IOI rate,Farsi,0.974358974358974,0.0362618862146947,common language effect size
f0 ratio,Farsi,0.79178524017334,0.0103790794485148,common language effect size
Sign of f0 slope,Farsi,1,0,common language effect size
IOI rate,Japanese,1,0,common language effect size
f0 ratio,Japanese,0.756518322172619,0.0105183189365659,common language effect size
Sign of f0 slope,Japanese,0.5,0,common language effect size
IOI rate,Yoruba,0.708333333333333,0.162140934189003,common language effect size
f0 ratio,Yoruba,0.62298059463501,0.0123394695616918,common language effect size
Sign of f0 slope,Yoruba,0.5,0,common language effect size
