feature,mean,CI_l,CI_u
90% f0 quantile length,0.603849555462459,0.142857142857143,0.833333333333333
IOI rate,0.926129903549258,0.803492063492063,0.987179487179487
IOI ratio deviation,0.602839128547996,0.359504132231405,0.79622641509434
Onset-break interval,0.750733137829912,0.25,1
Short-term energy,0.876144715603042,0.391525507285937,0.958114593124107
Sign of f0 slope,0.500071277289019,0.25,0.677083333333333
Spectral flatness,0.921741572105776,0.61136712749616,1
f0 ratio,0.575016379239855,0.487003803253174,0.662857055664062
f0 ratio deviation,0.793300428757703,0.66377829034175,0.935297035422734
