feature,lang,diff,stderr,method
F0,English,0.777943356247723,0.00304656562757946,common language effect size
Magnitude of F0 modulatioin,English,0.587807814080685,0.00454724340571826,common language effect size
Spectral centroid,English,0.547643314725156,0.00679231061881708,common language effect size
F0,Marathi,0.772909392192598,0.00544494921245077,common language effect size
Magnitude of F0 modulatioin,Marathi,0.643261321805587,0.00806820477251361,common language effect size
Spectral centroid,Marathi,0.376876756990535,0.0124960831853911,common language effect size
F0,Farsi,0.750687207150422,0.00433911344705848,common language effect size
Magnitude of F0 modulatioin,Farsi,0.631193076838668,0.00561871927915298,common language effect size
Spectral centroid,Farsi,0.533441345769255,0.00882747680108997,common language effect size
F0,Japanese,0.79093214821384,0.003316806736252,common language effect size
Magnitude of F0 modulatioin,Japanese,0.507902520224078,0.00449051822834595,common language effect size
Spectral centroid,Japanese,0.568585042699623,0.00668664270826471,common language effect size
F0,Yoruba,0.85544481668415,0.00459186718858016,common language effect size
Magnitude of F0 modulatioin,Yoruba,0.602418220926317,0.00748001469936874,common language effect size
Spectral centroid,Yoruba,0.795636387279556,0.0100061416917614,common language effect size
