time,voice_1
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0
0.21,0
0.215,0
0.22,0
0.225,0
0.23,0
0.235,0
0.24,0
0.245,0
0.25,0
0.255,0
0.26,0
0.265,0
0.27,0
0.275,0
0.28,0
0.285,0
0.29,0
0.295,0
0.3,0
0.305,0
0.31,0
0.315,0
0.32,0
0.325,0
0.33,0
0.335,0
0.34,0
0.345,0
0.35,0
0.355,0
0.36,0
0.365,0
0.37,0
0.375,0
0.38,0
0.385,0
0.39,0
0.395,0
0.4,0
0.405,0
0.41,0
0.415,0
0.42,0
0.425,0
0.43,0
0.435,0
0.44,0
0.445,0
0.45,0
0.455,0
0.46,0
0.465,0
0.47,0
0.475,0
0.48,0
0.485,0
0.49,0
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,78.2323310008505
0.95,77.3337560392292
0.955,76.4455020913285
0.96,76.4455020913285
0.965,76.4455020913285
0.97,79.1413469005951
0.975,81.9322604717486
0.98,84.8215953974368
0.985,86.3042507686426
0.99,86.3042507686426
0.995,86.8042062072506
1,85.3129619008554
1.005,84.333058956828
1.01,85.3129619008554
1.015,86.8042062072506
1.02,86.8042062072506
1.025,87.8128224992315
1.03,87.8128224992315
1.035,88.8331583480046
1.04,90.3859346044369
1.045,90.9095349969633
1.05,91.4361685757067
1.055,93.5733877045941
1.06,94.6606580968763
1.065,95.7605619625736
1.07,96.3152972546474
1.075,96.8732460955763
1.08,97.4344271012597
1.085,97.9988589954373
1.09,98.5665606103148
1.095,99.7118488770922
1.1,99.7118488770922
1.105,99.7118488770922
1.11,100.289473741404
1.115,100.870444752514
1.12,100.870444752514
1.125,102.042502863544
1.13,102.633629069049
1.135,102.633629069049
1.14,103.228179633826
1.145,103.826174394986
1.15,103.826174394986
1.155,105.032576430146
1.16,105.64102395561
1.165,105.64102395561
1.17,106.252996181733
1.175,106.252996181733
1.18,106.252996181733
1.185,106.868513526897
1.19,106.868513526897
1.195,107.487596527767
1.2,108.110265839978
1.205,108.736542238819
1.21,109.36644661993
1.215,110
1.22,111.278138433211
1.225,112.571128119645
1.23,113.223246030784
1.235,113.223246030784
1.24,114.538836778829
1.245,115.202353510269
1.25,115.869713955032
1.255,115.869713955032
1.26,116.540940379522
1.265,115.869713955032
1.27,116.540940379522
1.275,116.540940379522
1.28,116.540940379522
1.285,116.540940379522
1.29,115.202353510269
1.295,115.202353510269
1.3,114.538836778829
1.305,113.879141622552
1.31,113.223246030784
1.315,113.223246030784
1.32,113.223246030784
1.325,112.571128119645
1.33,111.922766131295
1.335,111.922766131295
1.34,111.922766131295
1.345,111.922766131295
1.35,111.922766131295
1.355,111.278138433211
1.36,111.278138433211
1.365,111.278138433211
1.37,111.278138433211
1.375,111.278138433211
1.38,111.278138433211
1.385,111.278138433211
1.39,111.278138433211
1.395,111.278138433211
1.4,111.278138433211
1.405,111.278138433211
1.41,111.278138433211
1.415,110.637223517464
1.42,111.278138433211
1.425,111.278138433211
1.43,111.278138433211
1.435,111.922766131295
1.44,111.922766131295
1.445,111.922766131295
1.45,112.571128119645
1.455,112.571128119645
1.46,113.223246030784
1.465,113.223246030784
1.47,113.223246030784
1.475,113.223246030784
1.48,113.223246030784
1.485,113.223246030784
1.49,113.879141622552
1.495,113.879141622552
1.5,113.879141622552
1.505,113.879141622552
1.51,113.879141622552
1.515,114.538836778829
1.52,114.538836778829
1.525,114.538836778829
1.53,113.879141622552
1.535,113.879141622552
1.54,113.879141622552
1.545,113.879141622552
1.55,113.879141622552
1.555,113.879141622552
1.56,113.879141622552
1.565,113.879141622552
1.57,113.879141622552
1.575,113.879141622552
1.58,113.879141622552
1.585,113.223246030784
1.59,113.223246030784
1.595,113.223246030784
1.6,112.571128119645
1.605,113.223246030784
1.61,112.571128119645
1.615,112.571128119645
1.62,112.571128119645
1.625,111.922766131295
1.63,111.922766131295
1.635,111.278138433211
1.64,111.278138433211
